census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Total population in private households by Aboriginal identity,33320,16785,16535,,,,,,6001
2011,Yukon,Total population in private households by Aboriginal identity,,Aboriginal identity,7705,3655,4055,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs56'>56</a>,6001
2011,Yukon,Total population in private households by Aboriginal identity,Aboriginal identity,First Nations (North American Indian) single identity,6585,3140,3450,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs57'>57</a>,6001
2011,Yukon,Total population in private households by Aboriginal identity,Aboriginal identity,Métis single identity,845,395,450,,,,,,6001
2011,Yukon,Total population in private households by Aboriginal identity,Aboriginal identity,Inuk (Inuit) single identity,175,70,105,,,,,,6001
2011,Yukon,Total population in private households by Aboriginal identity,Aboriginal identity,Multiple Aboriginal identities,25,20,10,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs58'>58</a>,6001
2011,Yukon,Total population in private households by Aboriginal identity,Aboriginal identity,Aboriginal identities not included elsewhere,70,30,40,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs59'>59</a>,6001
2011,Yukon,Total population in private households by Aboriginal identity,,Non-Aboriginal identity,25615,13135,12480,,,,,,6001
2011,Yukon,,,Total population in private households by Registered or Treaty Indian status,33320,16790,16530,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs57'>57</a>,6001
2011,Yukon,Total population in private households by Registered or Treaty Indian status,,Registered or Treaty Indian,5970,2840,3130,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs60'>60</a>,6001
2011,Yukon,Total population in private households by Registered or Treaty Indian status,,Not a Registered or Treaty Indian,27350,13945,13400,,,,,,6001
2011,Yukon,,,Total population in private households by Aboriginal ancestry,33320,16785,16535,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs61'>61</a>,6001
2011,Yukon,Total population in private households by Aboriginal ancestry,,Aboriginal ancestry,8050,3730,4320,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs62'>62</a>,6001
2011,Yukon,Total population in private households by Aboriginal ancestry,Aboriginal ancestry,First Nations (North American Indian) Aboriginal ancestry,7285,3380,3905,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs57'>57</a>,6001
2011,Yukon,Total population in private households by Aboriginal ancestry,Aboriginal ancestry,Métis ancestry,840,370,470,,,,,,6001
2011,Yukon,Total population in private households by Aboriginal ancestry,Aboriginal ancestry,Inuit ancestry,280,115,160,,,,,,6001
2011,Yukon,Total population in private households by Aboriginal ancestry,,Non-Aboriginal ancestry only,25270,13060,12215,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs63'>63</a>,6001
