census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Total population by age groups,33900,17060,16840,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census4'>4</a>,6001
2011,Yukon,Total population by age groups,,0 to 4 years,1975,1020,955,,,,,,6001
2011,Yukon,Total population by age groups,,5 to 9 years,1900,970,930,,,,,,6001
2011,Yukon,Total population by age groups,,10 to 14 years,1980,1025,960,,,,,,6001
2011,Yukon,Total population by age groups,,15 to 19 years,2210,1140,1075,,,,,,6001
2011,Yukon,Total population by age groups,15 to 19 years,15 years,410,195,210,,,,,,6001
2011,Yukon,Total population by age groups,15 to 19 years,16 years,425,210,220,,,,,,6001
2011,Yukon,Total population by age groups,15 to 19 years,17 years,435,235,205,,,,,,6001
2011,Yukon,Total population by age groups,15 to 19 years,18 years,475,240,235,,,,,,6001
2011,Yukon,Total population by age groups,15 to 19 years,19 years,455,255,200,,,,,,6001
2011,Yukon,Total population by age groups,,20 to 24 years,2225,1160,1065,,,,,,6001
2011,Yukon,Total population by age groups,,25 to 29 years,2375,1180,1195,,,,,,6001
2011,Yukon,Total population by age groups,,30 to 34 years,2295,1075,1220,,,,,,6001
2011,Yukon,Total population by age groups,,35 to 39 years,2425,1155,1270,,,,,,6001
2011,Yukon,Total population by age groups,,40 to 44 years,2440,1175,1265,,,,,,6001
2011,Yukon,Total population by age groups,,45 to 49 years,2905,1365,1545,,,,,,6001
2011,Yukon,Total population by age groups,,50 to 54 years,3175,1600,1575,,,,,,6001
2011,Yukon,Total population by age groups,,55 to 59 years,2775,1435,1340,,,,,,6001
2011,Yukon,Total population by age groups,,60 to 64 years,2115,1115,1000,,,,,,6001
2011,Yukon,Total population by age groups,,65 to 69 years,1300,740,560,,,,,,6001
2011,Yukon,Total population by age groups,,70 to 74 years,755,420,340,,,,,,6001
2011,Yukon,Total population by age groups,,75 to 79 years,515,240,270,,,,,,6001
2011,Yukon,Total population by age groups,,80 to 84 years,300,150,150,,,,,,6001
2011,Yukon,Total population by age groups,,85 years and over,230,95,135,,,,,,6001
2011,Yukon,,,Median age of the population,39.1,39.2,39.1,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census5'>5</a>,6001
2011,Yukon,,,% of the population aged 15 and over,82.7,82.3,83.1,,,,,,6001
2011,Whitehorse - Area,,,Total population by age groups,26030,12965,13060,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census4'>4</a>,990
2011,Whitehorse - Area,Total population by age groups,,0 to 4 years,1525,785,740,,,,,,990
2011,Whitehorse - Area,Total population by age groups,,5 to 9 years,1505,780,730,,,,,,990
2011,Whitehorse - Area,Total population by age groups,,10 to 14 years,1560,800,760,,,,,,990
2011,Whitehorse - Area,Total population by age groups,,15 to 19 years,1735,910,825,,,,,,990
2011,Whitehorse - Area,Total population by age groups,15 to 19 years,15 years,330,165,165,,,,,,990
2011,Whitehorse - Area,Total population by age groups,15 to 19 years,16 years,335,170,165,,,,,,990
2011,Whitehorse - Area,Total population by age groups,15 to 19 years,17 years,325,175,155,,,,,,990
2011,Whitehorse - Area,Total population by age groups,15 to 19 years,18 years,360,190,170,,,,,,990
2011,Whitehorse - Area,Total population by age groups,15 to 19 years,19 years,380,215,165,,,,,,990
2011,Whitehorse - Area,Total population by age groups,,20 to 24 years,1800,950,850,,,,,,990
2011,Whitehorse - Area,Total population by age groups,,25 to 29 years,1905,955,950,,,,,,990
2011,Whitehorse - Area,Total population by age groups,,30 to 34 years,1795,815,975,,,,,,990
2011,Whitehorse - Area,Total population by age groups,,35 to 39 years,1935,910,1020,,,,,,990
2011,Whitehorse - Area,Total population by age groups,,40 to 44 years,1900,905,1000,,,,,,990
