census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Total population in private households by citizenship,33320,16790,16535,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs1'>1</a>,6001
2011,Yukon,Total population in private households by citizenship,,Canadian citizens,31620,15900,15725,,,,,,6001
2011,Yukon,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,6850,3500,3355,,,,,,6001
2011,Yukon,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,24770,12400,12370,,,,,,6001
2011,Yukon,Total population in private households by citizenship,,Not Canadian citizens,1700,885,810,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs2'>2</a>,6001
2011,Whitehorse - City,,,Total population in private households by citizenship,22815,11345,11465,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs1'>1</a>,6001009
2011,Whitehorse - City,Total population in private households by citizenship,,Canadian citizens,21470,10615,10855,,,,,,6001009
2011,Whitehorse - City,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,4815,2445,2365,,,,,,6001009
2011,Whitehorse - City,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,16655,8165,8490,,,,,,6001009
2011,Whitehorse - City,Total population in private households by citizenship,,Not Canadian citizens,1340,730,605,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs2'>2</a>,6001009
2011,Alaska Highway North Region,,,Total population in private households by citizenship,845,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total population in private households by citizenship,,Canadian citizens,805,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,160,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,640,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total population in private households by citizenship,,Not Canadian citizens,40,,,,,,,,YBS042039049018
2011,Beaver Creek,,,Total population in private households by citizenship,100,55,45,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs1'>1</a>,6001042
2011,Beaver Creek,Total population in private households by citizenship,,Canadian citizens,95,50,40,,,,,,6001042
2011,Beaver Creek,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,10,10,0,,,,,,6001042
2011,Beaver Creek,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,80,45,40,,,,,,6001042
2011,Beaver Creek,Total population in private households by citizenship,,Not Canadian citizens,10,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs2'>2</a>,6001042
2011,Burwash Landing,,,Total population in private households by citizenship,95,45,50,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs1'>1</a>,6001039
2011,Burwash Landing,Total population in private households by citizenship,,Canadian citizens,90,45,45,,,,,,6001039
2011,Burwash Landing,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,20,10,10,,,,,,6001039
2011,Burwash Landing,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,75,40,35,,,,,,6001039
2011,Burwash Landing,Total population in private households by citizenship,,Not Canadian citizens,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs2'>2</a>,6001039
2011,Carcross,,,Total population in private households by citizenship,285,170,120,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs1'>1</a>,6001048
2011,Carcross,Total population in private households by citizenship,,Canadian citizens,285,165,120,,,,,,6001048
2011,Carcross,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,45,30,20,,,,,,6001048
2011,Carcross,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,240,135,105,,,,,,6001048
2011,Carcross,Total population in private households by citizenship,,Not Canadian citizens,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs2'>2</a>,6001048
2011,Carcross Region,,,Total population in private households by citizenship,340,,,,,,,,6001048
2011,Carcross Region,Total population in private households by citizenship,,Canadian citizens,335,,,,,,,,6001048
2011,Carcross Region,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,60,,,,,,,,6001048
2011,Carcross Region,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,280,,,,,,,,6001048
