census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Total population aged 15 years and over by highest certificate; diploma or degree,27495,13760,13740,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs70'>70</a>,6001
2011,Yukon,Total population aged 15 years and over by highest certificate; diploma or degree,,No certificate; diploma or degree,5040,2870,2165,,,,,,6001
2011,Yukon,Total population aged 15 years and over by highest certificate; diploma or degree,,High school diploma or equivalent,6655,3325,3335,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs71'>71</a>,6001
2011,Yukon,Total population aged 15 years and over by highest certificate; diploma or degree,,Postsecondary certificate; diploma or degree,15800,7565,8235,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs72'>72</a>,6001
2011,Yukon,Total population aged 15 years and over by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,Apprenticeship or trades certificate or diploma,3335,2475,860,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs73'>73</a>,6001
2011,Yukon,Total population aged 15 years and over by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,College; CEGEP or other non-university certificate or diploma,5490,2175,3310,,,,,,6001
2011,Yukon,Total population aged 15 years and over by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,University certificate or diploma below bachelor level,1145,455,690,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs74'>74</a>,6001
2011,Yukon,Total population aged 15 years and over by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,University certificate; diploma or degree at bachelor level or above,5835,2455,3380,,,,,,6001
2011,Yukon,Total population aged 15 years and over by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,Bachelor's degree,3840,1545,2295,,,,,,6001
2011,Yukon,Total population aged 15 years and over by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,University certificate; diploma or degree above bachelor level,2000,915,1085,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs75'>75</a>,6001
2011,Yukon,,,Total population aged 25 to 64 years by highest certificate; diploma or degree,20200,9795,10405,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs70'>70</a>,6001
2011,Yukon,Total population aged 25 to 64 years by highest certificate; diploma or degree,,No certificate; diploma or degree,2495,1525,970,,,,,,6001
2011,Yukon,Total population aged 25 to 64 years by highest certificate; diploma or degree,,High school diploma or equivalent,4160,1965,2195,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs71'>71</a>,6001
2011,Yukon,Total population aged 25 to 64 years by highest certificate; diploma or degree,,Postsecondary certificate; diploma or degree,13550,6305,7245,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs72'>72</a>,6001
2011,Yukon,Total population aged 25 to 64 years by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,Apprenticeship or trades certificate or diploma,2670,1950,715,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs73'>73</a>,6001
2011,Yukon,Total population aged 25 to 64 years by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,College; CEGEP or other non-university certificate or diploma,4740,1860,2880,,,,,,6001
2011,Yukon,Total population aged 25 to 64 years by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,University certificate or diploma below bachelor level,925,360,565,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs74'>74</a>,6001
2011,Yukon,Total population aged 25 to 64 years by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,University certificate; diploma or degree at bachelor level or above,5215,2140,3080,,,,,,6001
2011,Yukon,Total population aged 25 to 64 years by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,Bachelor's degree,3465,1385,2075,,,,,,6001
2011,Yukon,Total population aged 25 to 64 years by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,University certificate; diploma or degree above bachelor level,1755,750,1005,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs75'>75</a>,6001
2011,Yukon,,,Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,27495,13755,13735,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs76'>76</a>,6001
2011,Yukon,Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,,No postsecondary certificate; diploma or degree,11690,6195,5500,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs77'>77</a>,6001
2011,Yukon,Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,,Education,1345,340,1005,,,,,,6001
2011,Yukon,Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,,Visual and performing arts; and communications technologies,385,145,235,,,,,,6001
2011,Yukon,Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,,Humanities,770,325,445,,,,,,6001
2011,Yukon,Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,,Social and behavioural sciences and law,1825,645,1185,,,,,,6001
2011,Yukon,Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,,Business; management and public administration,2905,770,2135,,,,,,6001
2011,Yukon,Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,,Physical and life sciences and technologies,810,460,360,,,,,,6001
2011,Yukon,Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,,Mathematics; computer and information sciences,440,220,225,,,,,,6001
2011,Yukon,Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,,Architecture; engineering; and related technologies,3455,3050,405,,,,,,6001
2011,Yukon,Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,,Agriculture; natural resources and conservation,825,490,335,,,,,,6001
2011,Yukon,Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,,Health and related fields,1915,390,1525,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs78'>78</a>,6001
2011,Yukon,Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,,Personal; protective and transportation services,1125,735,390,,,,,,6001
2011,Yukon,Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,,Other fields of study,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs79'>79</a>,6001
2011,Yukon,,,Total population aged 15 years and over by location of study compared with province or territory of residence,27495,13760,13740,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs80'>80</a>,6001
2011,Yukon,Total population aged 15 years and over by location of study compared with province or territory of residence,,No postsecondary certificate; diploma or degree,11695,6195,5500,,,,,,6001
2011,Yukon,Total population aged 15 years and over by location of study compared with province or territory of residence,,With postsecondary certificate; diploma or degree,15800,7565,8240,,,,,,6001
2011,Yukon,Total population aged 15 years and over by location of study compared with province or territory of residence,With postsecondary certificate; diploma or degree,Location of study inside Canada,13740,6475,7255,,,,,,6001
2011,Yukon,Total population aged 15 years and over by location of study compared with province or territory of residence,With postsecondary certificate; diploma or degree,Same as province or territory of residence,3520,1580,1940,,,,,,6001
2011,Yukon,Total population aged 15 years and over by location of study compared with province or territory of residence,With postsecondary certificate; diploma or degree,Another province or territory,10220,4900,5315,,,,,,6001
2011,Yukon,Total population aged 15 years and over by location of study compared with province or territory of residence,With postsecondary certificate; diploma or degree,Location of study outside Canada,2070,1085,980,,,,,,6001
2011,Whitehorse - City,,,Total population aged 15 years and over by highest certificate; diploma or degree,18635,9185,9450,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs70'>70</a>,6001009
2011,Whitehorse - City,Total population aged 15 years and over by highest certificate; diploma or degree,,No certificate; diploma or degree,2870,1640,1235,,,,,,6001009
2011,Whitehorse - City,Total population aged 15 years and over by highest certificate; diploma or degree,,High school diploma or equivalent,4820,2425,2405,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs71'>71</a>,6001009
2011,Whitehorse - City,Total population aged 15 years and over by highest certificate; diploma or degree,,Postsecondary certificate; diploma or degree,10940,5125,5810,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs72'>72</a>,6001009
2011,Whitehorse - City,Total population aged 15 years and over by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,Apprenticeship or trades certificate or diploma,2125,1555,565,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs73'>73</a>,6001009
2011,Whitehorse - City,Total population aged 15 years and over by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,College; CEGEP or other non-university certificate or diploma,3655,1480,2175,,,,,,6001009
2011,Whitehorse - City,Total population aged 15 years and over by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,University certificate or diploma below bachelor level,840,300,540,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs74'>74</a>,6001009
2011,Whitehorse - City,Total population aged 15 years and over by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,University certificate; diploma or degree at bachelor level or above,4320,1790,2530,,,,,,6001009
2011,Whitehorse - City,Total population aged 15 years and over by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,Bachelor's degree,2915,1175,1740,,,,,,6001009
2011,Whitehorse - City,Total population aged 15 years and over by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,University certificate; diploma or degree above bachelor level,1405,615,790,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs75'>75</a>,6001009
2011,Whitehorse - City,,,Total population aged 25 to 64 years by highest certificate; diploma or degree,13650,6515,7130,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs70'>70</a>,6001009
2011,Whitehorse - City,Total population aged 25 to 64 years by highest certificate; diploma or degree,,No certificate; diploma or degree,1355,855,505,,,,,,6001009
2011,Whitehorse - City,Total population aged 25 to 64 years by highest certificate; diploma or degree,,High school diploma or equivalent,2855,1330,1530,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs71'>71</a>,6001009
2011,Whitehorse - City,Total population aged 25 to 64 years by highest certificate; diploma or degree,,Postsecondary certificate; diploma or degree,9435,4335,5105,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs72'>72</a>,6001009
2011,Whitehorse - City,Total population aged 25 to 64 years by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,Apprenticeship or trades certificate or diploma,1670,1205,465,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs73'>73</a>,6001009
2011,Whitehorse - City,Total population aged 25 to 64 years by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,College; CEGEP or other non-university certificate or diploma,3140,1250,1885,,,,,,6001009
2011,Whitehorse - City,Total population aged 25 to 64 years by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,University certificate or diploma below bachelor level,660,230,430,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs74'>74</a>,6001009
2011,Whitehorse - City,Total population aged 25 to 64 years by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,University certificate; diploma or degree at bachelor level or above,3965,1645,2320,,,,,,6001009
2011,Whitehorse - City,Total population aged 25 to 64 years by highest certificate; diploma or degree,Postsecondary certificate; diploma or degree,Bachelor's degree,2655,1075,1575,,,,,,6001009
