census_year,geo_name,category,subcategory,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Total population in private households by visible minority,Visible minority population,33320,16785,16535,,,,,,6001
2011,Yukon,Total population in private households by visible minority,,Total visible minority population,Visible minority population,2025,920,1100,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs28'>28</a>,6001
2011,Yukon,Total population in private households by visible minority,Total visible minority population,South Asian,Visible minority population,365,200,165,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs29'>29</a>,6001
2011,Yukon,Total population in private households by visible minority,Total visible minority population,Chinese,Visible minority population,400,140,255,,,,,,6001
2011,Yukon,Total population in private households by visible minority,Total visible minority population,Black,Visible minority population,100,35,65,,,,,,6001
2011,Yukon,Total population in private households by visible minority,Total visible minority population,Filipino,Visible minority population,675,330,340,,,,,,6001
2011,Yukon,Total population in private households by visible minority,Total visible minority population,Latin American,Visible minority population,110,40,70,,,,,,6001
2011,Yukon,Total population in private households by visible minority,Total visible minority population,Arab,Visible minority population,0,0,0,,,,,,6001
2011,Yukon,Total population in private households by visible minority,Total visible minority population,Southeast Asian,Visible minority population,210,95,110,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs30'>30</a>,6001
2011,Yukon,Total population in private households by visible minority,Total visible minority population,West Asian,Visible minority population,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs31'>31</a>,6001
2011,Yukon,Total population in private households by visible minority,Total visible minority population,Korean,Visible minority population,0,0,0,,,,,,6001
2011,Yukon,Total population in private households by visible minority,Total visible minority population,Japanese,Visible minority population,80,35,40,,,,,,6001
2011,Yukon,Total population in private households by visible minority,Total visible minority population,Visible minority; n.i.e.,Visible minority population,35,15,15,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs32'>32</a>,6001
2011,Yukon,Total population in private households by visible minority,Total visible minority population,Multiple visible minorities,Visible minority population,35,20,15,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs33'>33</a>,6001
2011,Yukon,Total population in private households by visible minority,,Not a visible minority,Visible minority population,31300,15865,15430,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs34'>34</a>,6001
2011,Yukon,,,Total population in private households by ethnic origins,Ethnic origin population,33320,16790,16535,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs35'>35</a>,6001
2011,Yukon,Total population in private households by ethnic origins,,North American Aboriginal origins,Ethnic origin population,8050,3730,4325,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,North American Aboriginal origins,First Nations (North American Indian),Ethnic origin population,7280,3380,3900,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,North American Aboriginal origins,Inuit,Ethnic origin population,275,115,160,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,North American Aboriginal origins,Métis,Ethnic origin population,840,370,475,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,,Other North American origins,Ethnic origin population,7895,3955,3940,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,Other North American origins,Acadian,Ethnic origin population,85,30,55,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,Other North American origins,American,Ethnic origin population,730,350,380,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,Other North American origins,Canadian,Ethnic origin population,7255,3640,3615,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,Other North American origins,New Brunswicker,Ethnic origin population,0,0,0,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,Other North American origins,Newfoundlander,Ethnic origin population,15,0,10,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,Other North American origins,Nova Scotian,Ethnic origin population,0,0,0,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,Other North American origins,Ontarian,Ethnic origin population,10,10,0,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,Other North American origins,Québécois,Ethnic origin population,35,20,20,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,Other North American origins,Other North American origins; n.i.e.,Ethnic origin population,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs36'>36</a>,6001
2011,Yukon,Total population in private households by ethnic origins,,European origins,Ethnic origin population,24595,12490,12105,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,European origins,British Isles origins,Ethnic origin population,17405,8625,8780,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,European origins,Channel Islander,Ethnic origin population,0,0,0,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,European origins,Cornish,Ethnic origin population,0,0,0,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,European origins,English,Ethnic origin population,9485,4575,4910,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,European origins,Irish,Ethnic origin population,7320,3565,3750,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,European origins,Manx,Ethnic origin population,0,0,0,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,European origins,Scottish,Ethnic origin population,8340,3925,4410,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,European origins,Welsh,Ethnic origin population,935,485,450,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,European origins,British Isles origins; n.i.e.,Ethnic origin population,805,325,480,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs37'>37</a>,6001
2011,Yukon,Total population in private households by ethnic origins,European origins,French origins,Ethnic origin population,4380,2100,2280,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,European origins,Alsatian,Ethnic origin population,0,0,0,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,European origins,Breton,Ethnic origin population,0,0,0,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,European origins,French,Ethnic origin population,4380,2100,2280,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,European origins,Western European origins (except French origins),Ethnic origin population,7125,3790,3340,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,European origins,Austrian,Ethnic origin population,400,205,195,,,,,,6001
2011,Yukon,Total population in private households by ethnic origins,European origins,Belgian,Ethnic origin population,255,155,95,,,,,,6001
