census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Total number of census families in private households,9335,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census7'>7</a>,6001
2011,Yukon,Total number of census families in private households,,Size of census family: 2 persons,4910,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,,Size of census family: 3 persons,2030,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,,Size of census family: 4 persons,1700,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,,Size of census family: 5 or more persons,685,,,,...,...,,,6001
2011,Yukon,,,Total number of census families in private households,9335,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census8'>8</a>,6001
2011,Yukon,Total number of census families in private households,,Total couple families by family structure and number of children,7420,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total couple families by family structure and number of children - Married couples,Married couples,5080,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total couple families by family structure and number of children - Married couples,Without children at home,2400,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total couple families by family structure and number of children - Married couples,With children at home,2680,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total couple families by family structure and number of children - Married couples,1 child,1025,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total couple families by family structure and number of children - Married couples,2 children,1170,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total couple families by family structure and number of children - Married couples,3 or more children,485,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total couple families by family structure and number of children - Common-law couples,Common-law couples,2340,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total couple families by family structure and number of children - Common-law couples,Without children at home,1360,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total couple families by family structure and number of children - Common-law couples,With children at home,985,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total couple families by family structure and number of children - Common-law couples,1 child,465,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total couple families by family structure and number of children - Common-law couples,2 children,360,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total couple families by family structure and number of children - Common-law couples,3 or more children,155,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,,Total lone-parent families by sex of parent and number of children,1915,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total lone-parent families by sex of parent and number of children - Female parent,Female parent,1390,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total lone-parent families by sex of parent and number of children - Female parent,1 child,815,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total lone-parent families by sex of parent and number of children - Female parent,2 children,405,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total lone-parent families by sex of parent and number of children - Female parent,3 or more children,175,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total lone-parent families by sex of parent and number of children - Male parent,Male parent,525,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total lone-parent families by sex of parent and number of children - Male parent,1 child,340,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total lone-parent families by sex of parent and number of children - Male parent,2 children,140,,,,...,...,,,6001
2011,Yukon,Total number of census families in private households,Total lone-parent families by sex of parent and number of children - Male parent,3 or more children,45,,,,...,...,,,6001
2011,Yukon,,,Total children in census families in private households,9605,,,,...,...,,,6001
2011,Yukon,Total children in census families in private households,,Under six years of age,2290,,,,...,...,,,6001
2011,Yukon,Total children in census families in private households,,6 to 14 years,3420,,,,...,...,,,6001
2011,Yukon,Total children in census families in private households,,15 to 17 years,1175,,,,...,...,,,6001
2011,Yukon,Total children in census families in private households,,18 to 24 years,1920,,,,...,...,,,6001
2011,Yukon,Total children in census families in private households,,25 years and over,800,,,,...,...,,,6001
2011,Yukon,,,Average number of children at home per census family,1,,,,...,...,,,6001
2011,Whitehorse - Area,,,Total number of census families in private households,7155,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census7'>7</a>,6001
2011,Whitehorse - Area,Total number of census families in private households,,Size of census family: 2 persons,3630,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,,Size of census family: 3 persons,1615,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,,Size of census family: 4 persons,1385,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,,Size of census family: 5 or more persons,525,,,,...,...,,,6001
2011,Whitehorse - Area,,,Total number of census families in private households,7150,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census8'>8</a>,6001
2011,Whitehorse - Area,Total number of census families in private households,,Total couple families by family structure and number of children,5715,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total couple families by family structure and number of children - Married couples,Married couples,4060,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total couple families by family structure and number of children - Married couples,Without children at home,1805,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total couple families by family structure and number of children - Married couples,With children at home,2260,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total couple families by family structure and number of children - Married couples,1 child,855,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total couple families by family structure and number of children - Married couples,2 children,1010,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total couple families by family structure and number of children - Married couples,3 or more children,395,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total couple families by family structure and number of children - Common-law couples,Common-law couples,1655,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total couple families by family structure and number of children - Common-law couples,Without children at home,975,,,,...,...,,,6001
