census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Total number of persons in private households,33320,16715,16610,,,,,,6001
2011,Yukon,Total number of persons in private households,,Number of persons not in census families,6965,3670,3300,,,,,,6001
2011,Yukon,Total number of persons in private households,Number of persons not in census families,Living with relatives,860,425,440,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census9'>9</a>,6001
2011,Yukon,Total number of persons in private households,Number of persons not in census families,Living with non-relatives only,1765,960,810,,,,,,6001
2011,Yukon,Total number of persons in private households,Number of persons not in census families,Living alone,4335,2285,2050,,,,,,6001
2011,Yukon,Total number of persons in private households,,Number of census family persons,26360,13045,13310,,,,,,6001
2011,Yukon,,,Average number of persons per census family,2.8,,,,...,...,,,6001
2011,Yukon,,,Total number of persons aged 65 years and over in private households,2940,1565,1380,,,,,,6001
2011,Yukon,Total number of persons aged 65 years and over in private households,,Number of persons not in census families aged 65 years and over,1230,555,675,,,,,,6001
2011,Yukon,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living with relatives,130,45,85,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census9'>9</a>,6001
2011,Yukon,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living with non-relatives only,75,35,35,,,,,,6001
2011,Yukon,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living alone,1030,475,555,,,,,,6001
2011,Yukon,Total number of persons aged 65 years and over in private households,,Number of census family persons aged 65 years and over,1710,1005,705,,,,,,6001
2011,Yukon,,,Total number of private households by household type,14120,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census10'>10</a>,6001
2011,Yukon,Total number of private households by household type,,Census-family households,9075,,,,...,...,,,6001
2011,Yukon,Total number of private households by household type,Census-family households - One-family-only households,One-family-only households,8090,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census11'>11</a>,6001
