census_year,geo_name,category,subcategory,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Total population in private households by immigrant status and period of immigration,Immigrant status and period of immigration,33320,16785,16535,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs3'>3</a>,6001
2011,Yukon,Total population in private households by immigrant status and period of immigration,,Non-immigrants,Immigrant status and period of immigration,29230,14675,14550,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs4'>4</a>,6001
2011,Yukon,Total population in private households by immigrant status and period of immigration,,Immigrants,Immigrant status and period of immigration,3755,1935,1820,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs5'>5</a>,6001
2011,Yukon,Total population in private households by immigrant status and period of immigration,Immigrants,Before 1971,Immigrant status and period of immigration,835,530,310,,,,,,6001
2011,Yukon,Total population in private households by immigrant status and period of immigration,Immigrants,1971 to 1980,Immigrant status and period of immigration,640,350,290,,,,,,6001
2011,Yukon,Total population in private households by immigrant status and period of immigration,Immigrants,1981 to 1990,Immigrant status and period of immigration,450,200,250,,,,,,6001
2011,Yukon,Total population in private households by immigrant status and period of immigration,Immigrants,1991 to 2000,Immigrant status and period of immigration,565,215,345,,,,,,6001
2011,Yukon,Total population in private households by immigrant status and period of immigration,Immigrants,2001 to 2011,Immigrant status and period of immigration,1265,640,630,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs6'>6</a>,6001
2011,Yukon,Total population in private households by immigrant status and period of immigration,Immigrants,2001 to 2005,Immigrant status and period of immigration,370,150,225,,,,,,6001
2011,Yukon,Total population in private households by immigrant status and period of immigration,Immigrants,2006 to 2011,Immigrant status and period of immigration,895,485,405,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs6'>6</a>,6001
2011,Yukon,Total population in private households by immigrant status and period of immigration,,Non-permanent residents,Immigrant status and period of immigration,340,180,160,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs7'>7</a>,6001
2011,Yukon,,,Total immigrant population in private households by age at immigration,Age at immigration,3755,1935,1825,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs8'>8</a>,6001
2011,Yukon,Total immigrant population in private households by age at immigration,,Under 5 years,Age at immigration,465,220,245,,,,,,6001
2011,Yukon,Total immigrant population in private households by age at immigration,,5 to 14 years,Age at immigration,615,330,285,,,,,,6001
2011,Yukon,Total immigrant population in private households by age at immigration,,15 to 24 years,Age at immigration,925,520,400,,,,,,6001
