census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Household total income in 2010 of private households,14120,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs149'>149</a>,6001
2011,Yukon,Household total income in 2010 of private households,,Under $5;000,300,,,,...,...,,,6001
2011,Yukon,Household total income in 2010 of private households,,$5;000 to $9;999,245,,,,...,...,,,6001
2011,Yukon,Household total income in 2010 of private households,,$10;000 to $14;999,220,,,,...,...,,,6001
2011,Yukon,Household total income in 2010 of private households,,$15;000 to $19;999,520,,,,...,...,,,6001
2011,Yukon,Household total income in 2010 of private households,,$20;000 to $29;999,1000,,,,...,...,,,6001
2011,Yukon,Household total income in 2010 of private households,,$30;000 to $39;999,1285,,,,...,...,,,6001
2011,Yukon,Household total income in 2010 of private households,,$40;000 to $49;999,905,,,,...,...,,,6001
2011,Yukon,Household total income in 2010 of private households,,$50;000 to $59;999,995,,,,...,...,,,6001
2011,Yukon,Household total income in 2010 of private households,,$60;000 to $79;999,2025,,,,...,...,,,6001
2011,Yukon,Household total income in 2010 of private households,,$80;000 to $99;999,1750,,,,...,...,,,6001
2011,Yukon,Household total income in 2010 of private households,,$100;000 to $124;999,1520,,,,...,...,,,6001
2011,Yukon,Household total income in 2010 of private households,,$125;000 to $149;999,1260,,,,...,...,,,6001
2011,Yukon,Household total income in 2010 of private households,,$150;000 and over,2100,,,,...,...,,,6001
2011,Yukon,,,After-tax income of households in 2010 of private households,14120,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs150'>150</a>,6001
2011,Yukon,After-tax income of households in 2010 of private households,,Under $5;000,300,,,,...,...,,,6001
2011,Yukon,After-tax income of households in 2010 of private households,,$5;000 to $9;999,245,,,,...,...,,,6001
2011,Yukon,After-tax income of households in 2010 of private households,,$10;000 to $14;999,230,,,,...,...,,,6001
2011,Yukon,After-tax income of households in 2010 of private households,,$15;000 to $19;999,565,,,,...,...,,,6001
2011,Yukon,After-tax income of households in 2010 of private households,,$20;000 to $29;999,1190,,,,...,...,,,6001
2011,Yukon,After-tax income of households in 2010 of private households,,$30;000 to $39;999,1215,,,,...,...,,,6001
2011,Yukon,After-tax income of households in 2010 of private households,,$40;000 to $49;999,1220,,,,...,...,,,6001
2011,Yukon,After-tax income of households in 2010 of private households,,$50;000 to $59;999,1235,,,,...,...,,,6001
2011,Yukon,After-tax income of households in 2010 of private households,,$60;000 to $79;999,2415,,,,...,...,,,6001
2011,Yukon,After-tax income of households in 2010 of private households,,$80;000 to $99;999,1685,,,,...,...,,,990
2011,Yukon,After-tax income of households in 2010 of private households,,$100;000 and over,3820,,,,...,...,,,6001
2011,Yukon,After-tax income of households in 2010 of private households,$100;000 and over,$100;000 to $124;999,1630,,,,...,...,,,6001
2011,Yukon,After-tax income of households in 2010 of private households,$100;000 and over,$125;000 and over,2195,,,,...,...,,,6001
2011,Yukon,,,Household income in 2010 of private households,14120,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs151'>151</a>,6001
2011,Yukon,Household income in 2010 of private households,,Median household total income ($),75944,,,,...,...,,,6001
2011,Yukon,Household income in 2010 of private households,,Average household total income ($),88526,,,,...,...,,,6001
2011,Yukon,Household income in 2010 of private households,,Median after-tax household income ($),67381,,,,...,...,,,6001
2011,Yukon,Household income in 2010 of private households,,Average after-tax household income ($),76214,,,,...,...,,,6001
2011,Yukon,Household income in 2010 of private households,,One-person private households,4335,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs152'>152</a>,6001
2011,Yukon,Household income in 2010 of private households,One-person private households,Median household total income ($),38719,,,,...,...,,,6001
2011,Yukon,Household income in 2010 of private households,One-person private households,Average household total income ($),45994,,,,...,...,,,6001
2011,Yukon,Household income in 2010 of private households,One-person private households,Median after-tax household income ($),35486,,,,...,...,,,6001
2011,Yukon,Household income in 2010 of private households,One-person private households,Average after-tax household income ($),39963,,,,...,...,,,6001
2011,Yukon,Household income in 2010 of private households,,Two-or-more-persons private households,9780,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs152'>152</a>,6001
2011,Yukon,Household income in 2010 of private households,Two-or-more-persons private households,Median household total income ($),96404,,,,...,...,,,6001
2011,Yukon,Household income in 2010 of private households,Two-or-more-persons private households,Average household total income ($),107394,,,,...,...,,,6001
2011,Yukon,Household income in 2010 of private households,Two-or-more-persons private households,Median after-tax household income ($),83710,,,,...,...,,,6001
2011,Yukon,Household income in 2010 of private households,Two-or-more-persons private households,Average after-tax household income ($),92295,,,,...,...,,,6001
2011,Whitehorse - City,,,Household total income in 2010 of private households,9310,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs149'>149</a>,YBS042039049018
2011,Whitehorse - City,Household total income in 2010 of private households,,Under $5;000,215,,,,...,...,,,YBS042039049018
2011,Whitehorse - City,Household total income in 2010 of private households,,$5;000 to $9;999,140,,,,...,...,,,YBS042039049018
2011,Whitehorse - City,Household total income in 2010 of private households,,$10;000 to $14;999,105,,,,...,...,,,YBS042039049018
2011,Whitehorse - City,Household total income in 2010 of private households,,$15;000 to $19;999,305,,,,...,...,,,YBS042039049018
2011,Whitehorse - City,Household total income in 2010 of private households,,$20;000 to $29;999,550,,,,...,...,,,YBS042039049018
2011,Whitehorse - City,Household total income in 2010 of private households,,$30;000 to $39;999,695,,,,...,...,,,YBS042039049018
2011,Whitehorse - City,Household total income in 2010 of private households,,$40;000 to $49;999,515,,,,...,...,,,YBS042039049018
2011,Whitehorse - City,Household total income in 2010 of private households,,$50;000 to $59;999,630,,,,...,...,,,YBS042039049018
2011,Whitehorse - City,Household total income in 2010 of private households,,$60;000 to $79;999,1275,,,,...,...,,,YBS042039049018
