census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Total income in 2010 of population aged 15 years and over,27495,13760,13735,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs117'>117</a>,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,,Without income,1030,530,500,,,,,,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,,With income,26465,13225,13240,,,,,,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,With income,Under $5;000,1960,1015,945,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs118'>118</a>,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,With income,$5;000 to $9;999,1520,630,895,,,,,,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,With income,$10;000 to $14;999,1605,795,810,,,,,,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,With income,$15;000 to $19;999,1910,935,980,,,,,,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,With income,$20;000 to $29;999,3150,1625,1525,,,,,,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,With income,$30;000 to $39;999,3000,1165,1840,,,,,,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,With income,$40;000 to $49;999,2575,1240,1335,,,,,,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,With income,$50;000 to $59;999,2420,1115,1305,,,,,,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,With income,$60;000 to $79;999,4175,2120,2055,,,,,,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,With income,$80;000 to $99;999,2275,1330,950,,,,,,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,With income,$100;000 and over,1865,1250,610,,,,,,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,With income,$100;000 to $124;999,1130,725,410,,,,,,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,With income,$125;000 and over,735,530,205,,,,,,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,,Median income ($),40391,42867,37899,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs119'>119</a>,990
2011,Yukon,Total income in 2010 of population aged 15 years and over,,Average income ($),47222,51017,43431,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs119'>119</a>,990
2011,Yukon,,,After-tax income in 2010 of population 15 years and over,27495,13755,13740,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs120'>120</a>,990
2011,Yukon,After-tax income in 2010 of population 15 years and over,,Without after-tax income,1035,530,495,,,,,,990
2011,Yukon,After-tax income in 2010 of population 15 years and over,,With after-tax income,26465,13225,13240,,,,,,990
2011,Yukon,After-tax income in 2010 of population 15 years and over,With after-tax income,Under $5;000,1975,1020,950,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs121'>121</a>,990
2011,Yukon,After-tax income in 2010 of population 15 years and over,With after-tax income,$5;000 to $9;999,1545,625,920,,,,,,990
2011,Yukon,After-tax income in 2010 of population 15 years and over,With after-tax income,$10;000 to $14;999,1655,845,815,,,,,,990
2011,Yukon,After-tax income in 2010 of population 15 years and over,With after-tax income,$15;000 to $19;999,2120,1035,1085,,,,,,990
2011,Yukon,After-tax income in 2010 of population 15 years and over,With after-tax income,$20;000 to $29;999,3700,1810,1885,,,,,,990
2011,Yukon,After-tax income in 2010 of population 15 years and over,With after-tax income,$30;000 to $39;999,3385,1480,1905,,,,,,990
