census_year,geo_name,category,subcategory,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,Mode of transportation,18050,9025,9025,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs95'>95</a>,6001
2011,Yukon,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a driver,Mode of transportation,13260,6730,6535,,,,,,6001
2011,Yukon,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a passenger,Mode of transportation,1445,650,795,,,,,,6001
2011,Yukon,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Public transit,Mode of transportation,765,355,405,,,,,,6001
2011,Yukon,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Walked,Mode of transportation,1670,815,850,,,,,,6001
2011,Yukon,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Bicycle,Mode of transportation,520,235,285,,,,,,6001
2011,Yukon,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Other methods,Mode of transportation,400,230,170,,,,,,6001
2011,Yukon,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration,Median commuting duration,18045,9020,9025,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs96'>96</a>,6001
2011,Yukon,,,Median commuting duration,Median commuting duration,10.9,11,10.9,,,,,,6001
2011,Yukon,,,Total employed population aged 15 years and over by time leaving for work,Time leaving for work,18045,9020,9025,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs97'>97</a>,6001
2011,Yukon,Total employed population aged 15 years and over by time leaving for work,,Between 5 and 6:59 a.m.,Time leaving for work,2805,1780,1025,,,,,,6001
2011,Yukon,Total employed population aged 15 years and over by time leaving for work,,Between 7 and 9:00 a.m.,Time leaving for work,12380,5825,6550,,,,,,6001
2011,Yukon,Total employed population aged 15 years and over by time leaving for work,,Anytime after 9:00 a.m.,Time leaving for work,2870,1420,1450,,,,,,6001
2011,Whitehorse - City,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,Mode of transportation,13105,6540,6570,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs95'>95</a>,6001009
2011,Whitehorse - City,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a driver,Mode of transportation,9805,4970,4840,,,,,,6001009
