census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Total population aged 15 years and over by labour force status,27495,13760,13735,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs83'>83</a>,6001
2011,Yukon,Total population aged 15 years and over by labour force status,,In the labour force,21245,10810,10435,,,,,,6001
2011,Yukon,Total population aged 15 years and over by labour force status,In the labour force,Employed,19165,9675,9485,,,,,,6001
2011,Yukon,Total population aged 15 years and over by labour force status,In the labour force,Unemployed,2085,1135,950,,,,,,6001
2011,Yukon,Total population aged 15 years and over by labour force status,,Not in the labour force,6250,2945,3300,,,,,,6001
2011,Yukon,,,Participation rate,77.3,78.6,76,,,,,,6001
2011,Yukon,,,Employment rate,69.7,70.3,69.1,,,,,,6001
2011,Yukon,,,Unemployment rate,9.8,10.5,9.1,,,,,,6001
2011,Whitehorse - City,,,Total population aged 15 years and over by labour force status,18630,9185,9445,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs83'>83</a>,6001009
2011,Whitehorse - City,Total population aged 15 years and over by labour force status,,In the labour force,14895,7490,7400,,,,,,6001009
2011,Whitehorse - City,Total population aged 15 years and over by labour force status,In the labour force,Employed,13765,6880,6885,,,,,,6001009
2011,Whitehorse - City,Total population aged 15 years and over by labour force status,In the labour force,Unemployed,1130,610,520,,,,,,6001009
2011,Whitehorse - City,Total population aged 15 years and over by labour force status,,Not in the labour force,3740,1695,2050,,,,,,6001009
2011,Whitehorse - City,,,Participation rate,80,81.5,78.3,,,,,,6001009
2011,Whitehorse - City,,,Employment rate,73.9,74.9,72.9,,,,,,6001009
2011,Whitehorse - City,,,Unemployment rate,7.6,8.1,7,,,,,,6001009
2011,Alaska Highway North Region,,,Total population aged 15 years and over by labour force status,715,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total population aged 15 years and over by labour force status,,In the labour force,540,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total population aged 15 years and over by labour force status,In the labour force,Employed,475,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total population aged 15 years and over by labour force status,In the labour force,Unemployed,65,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total population aged 15 years and over by labour force status,,Not in the labour force,175,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Participation rate,76,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Employment rate,66,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Unemployment rate,12,,,,,,,,YBS042039049018
2011,Beaver Creek,,,Total population aged 15 years and over by labour force status,85,50,40,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs83'>83</a>,6001042
2011,Beaver Creek,Total population aged 15 years and over by labour force status,,In the labour force,80,40,35,,,,,,6001042
2011,Beaver Creek,Total population aged 15 years and over by labour force status,In the labour force,Employed,70,35,35,,,,,,6001042
2011,Beaver Creek,Total population aged 15 years and over by labour force status,In the labour force,Unemployed,0,0,0,,,,,,6001042
2011,Beaver Creek,Total population aged 15 years and over by labour force status,,Not in the labour force,10,0,0,,,,,,6001042
2011,Beaver Creek,,,Participation rate,94.1,80,87.5,,,,,,6001042
2011,Beaver Creek,,,Employment rate,82.4,70,87.5,,,,,,6001042
2011,Beaver Creek,,,Unemployment rate,0,0,0,,,,,,6001042
2011,Burwash Landing,,,Total population aged 15 years and over by labour force status,80,40,40,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs83'>83</a>,6001039
2011,Burwash Landing,Total population aged 15 years and over by labour force status,,In the labour force,55,35,25,,,,,,6001039
2011,Burwash Landing,Total population aged 15 years and over by labour force status,In the labour force,Employed,45,25,20,,,,,,6001039
2011,Burwash Landing,Total population aged 15 years and over by labour force status,In the labour force,Unemployed,15,10,0,,,,,,6001039
2011,Burwash Landing,Total population aged 15 years and over by labour force status,,Not in the labour force,25,10,15,,,,,,6001039
2011,Burwash Landing,,,Participation rate,68.8,87.5,62.5,,,,,,6001039
2011,Burwash Landing,,,Employment rate,56.2,62.5,50,,,,,,6001039
2011,Burwash Landing,,,Unemployment rate,27.3,28.6,0,,,,,,6001039
2011,Carcross,,,Total population aged 15 years and over by labour force status,245,140,105,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs83'>83</a>,6001048
2011,Carcross,Total population aged 15 years and over by labour force status,,In the labour force,170,95,70,,,,,,6001048
2011,Carcross,Total population aged 15 years and over by labour force status,In the labour force,Employed,125,70,60,,,,,,6001048
2011,Carcross,Total population aged 15 years and over by labour force status,In the labour force,Unemployed,45,30,15,,,,,,6001048
2011,Carcross,Total population aged 15 years and over by labour force status,,Not in the labour force,75,40,30,,,,,,6001048
2011,Carcross,,,Participation rate,69.4,67.9,66.7,,,,,,6001048
2011,Carcross,,,Employment rate,51,50,57.1,,,,,,6001048
2011,Carcross,,,Unemployment rate,26.5,31.6,21.4,,,,,,6001048
2011,Carcross Region,,,Total population aged 15 years and over by labour force status,290,,,,,,,,YBS048008
2011,Carcross Region,Total population aged 15 years and over by labour force status,,In the labour force,200,,,,,,,,YBS048008
2011,Carcross Region,Total population aged 15 years and over by labour force status,In the labour force,Employed,145,,,,,,,,YBS048008
2011,Carcross Region,Total population aged 15 years and over by labour force status,In the labour force,Unemployed,50,,,,,,,,YBS048008
2011,Carcross Region,Total population aged 15 years and over by labour force status,,Not in the labour force,90,,,,,,,,YBS048008
2011,Carcross Region,,,Participation rate,69,,,,,,,,YBS048008
2011,Carcross Region,,,Employment rate,50,,,,,,,,YBS048008
2011,Carcross Region,,,Unemployment rate,25,,,,,,,,YBS048008
2011,Carcross 4,,,Total population aged 15 years and over by labour force status,45,25,15,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs83'>83</a>,6001008
2011,Carcross 4,Total population aged 15 years and over by labour force status,,In the labour force,30,15,15,,,,,,6001008
