census_year,geo_name,category,subcategory,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Detailed mother tongue - Total population excluding institutional residents,Detailed mother tongue,33655,16910,16745,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census19'>19</a>,6001
2011,Yukon,Detailed mother tongue - Total population excluding institutional residents,Single responses,  Single responses ,Detailed mother tongue,33145,16645,16500,,,,,,6001
2011,Yukon,Detailed mother tongue - Total population excluding institutional residents,Single responses,    English ,Detailed mother tongue,28065,14150,13920,,,,,,6001
2011,Yukon,Detailed mother tongue - Total population excluding institutional residents,Single responses,    French ,Detailed mother tongue,1455,740,715,,,,,,6001
2011,Yukon,Detailed mother tongue - Total population excluding institutional residents,Single responses,    Non-official languages ,Detailed mother tongue,3625,1755,1865,,,,,,6001
2011,Yukon,Detailed mother tongue - Total population excluding institutional residents,Single responses,      Selected Aboriginal languages,Detailed mother tongue,75,30,45,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census20'>20</a>,6001
2011,Yukon,Detailed mother tongue - Total population excluding institutional residents,Single responses,        Atikamekw   ,Detailed mother tongue,0,0,0,,,,,,6001
2011,Yukon,Detailed mother tongue - Total population excluding institutional residents,Single responses,        Cree; n.o.s. ,Detailed mother tongue,15,5,10,,,,,,6001
2011,Yukon,Detailed mother tongue - Total population excluding institutional residents,Single responses,        Dene ,Detailed mother tongue,45,20,25,,,,,,6001
2011,Yukon,Detailed mother tongue - Total population excluding institutional residents,Single responses,        Innu/Montagnais ,Detailed mother tongue,0,0,5,,,,,,6001
2011,Yukon,Detailed mother tongue - Total population excluding institutional residents,Single responses,        Inuktitut ,Detailed mother tongue,0,0,5,,,,,,6001
2011,Yukon,Detailed mother tongue - Total population excluding institutional residents,Single responses,        Mi'kmaq ,Detailed mother tongue,0,0,0,,,,,,6001
2011,Yukon,Detailed mother tongue - Total population excluding institutional residents,Single responses,        Ojibway ,Detailed mother tongue,5,0,10,,,,,,6001
2011,Yukon,Detailed mother tongue - Total population excluding institutional residents,Single responses,        Oji-Cree ,Detailed mother tongue,0,0,0,,,,,,6001
2011,Yukon,Detailed mother tongue - Total population excluding institutional residents,Single responses,        Stoney ,Detailed mother tongue,0,0,0,,,,,,6001
