census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Total - Mobility status 1 year ago,32950,16620,16330,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs68'>68</a>,6001
2011,Yukon,Total - Mobility status 1 year ago,,Non-movers,27610,13960,13645,,,,,,6001
2011,Yukon,Total - Mobility status 1 year ago,,Movers,5340,2660,2685,,,,,,6001
2011,Yukon,Total - Mobility status 1 year ago,Movers,Non-migrants,3170,1620,1550,,,,,,6001
2011,Yukon,Total - Mobility status 1 year ago,Movers,Migrants,2170,1035,1135,,,,,,6001
2011,Yukon,Total - Mobility status 1 year ago,Movers,Internal migrants,1865,905,965,,,,,,6001
2011,Yukon,Total - Mobility status 1 year ago,Movers,Intraprovincial migrants,555,315,245,,,,,,6001
2011,Yukon,Total - Mobility status 1 year ago,Movers,Interprovincial migrants,1305,590,720,,,,,,6001
2011,Yukon,Total - Mobility status 1 year ago,Movers,External migrants,305,135,170,,,,,,6001
2011,Yukon,,,Total - Mobility status 5 years ago,31360,15795,15565,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs69'>69</a>,6001
2011,Yukon,Total - Mobility status 5 years ago,,Non-movers,17105,8750,8355,,,,,,6001
2011,Yukon,Total - Mobility status 5 years ago,,Movers,14250,7045,7210,,,,,,6001
2011,Yukon,Total - Mobility status 5 years ago,Movers,Non-migrants,7320,3630,3695,,,,,,6001
2011,Yukon,Total - Mobility status 5 years ago,Movers,Migrants,6930,3415,3515,,,,,,6001
2011,Yukon,Total - Mobility status 5 years ago,Movers,Internal migrants,5715,2730,2985,,,,,,6001
2011,Yukon,Total - Mobility status 5 years ago,Movers,Intraprovincial migrants,1475,735,740,,,,,,6001
2011,Yukon,Total - Mobility status 5 years ago,Movers,Interprovincial migrants,4240,1995,2250,,,,,,6001
2011,Yukon,Total - Mobility status 5 years ago,Movers,External migrants,1215,685,530,,,,,,6001
2011,Whitehorse - City,,,Total - Mobility status 1 year ago,22565,11230,11340,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs68'>68</a>,6001009
2011,Whitehorse - City,Total - Mobility status 1 year ago,,Non-movers,18605,9240,9365,,,,,,6001009
2011,Whitehorse - City,Total - Mobility status 1 year ago,,Movers,3965,1985,1975,,,,,,6001009
2011,Whitehorse - City,Total - Mobility status 1 year ago,Movers,Non-migrants,2525,1300,1225,,,,,,6001009
2011,Whitehorse - City,Total - Mobility status 1 year ago,Movers,Migrants,1440,690,750,,,,,,6001009
2011,Whitehorse - City,Total - Mobility status 1 year ago,Movers,Internal migrants,1175,575,600,,,,,,6001009
2011,Whitehorse - City,Total - Mobility status 1 year ago,Movers,Intraprovincial migrants,200,140,55,,,,,,6001009
2011,Whitehorse - City,Total - Mobility status 1 year ago,Movers,Interprovincial migrants,970,430,545,,,,,,6001009
2011,Whitehorse - City,Total - Mobility status 1 year ago,Movers,External migrants,260,110,150,,,,,,6001009
2011,Whitehorse - City,,,Total - Mobility status 5 years ago,21425,10655,10765,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs69'>69</a>,6001009
2011,Whitehorse - City,Total - Mobility status 5 years ago,,Non-movers,10855,5405,5450,,,,,,6001009
2011,Whitehorse - City,Total - Mobility status 5 years ago,,Movers,10570,5255,5315,,,,,,6001009
2011,Whitehorse - City,Total - Mobility status 5 years ago,Movers,Non-migrants,5845,2915,2930,,,,,,6001009
2011,Whitehorse - City,Total - Mobility status 5 years ago,Movers,Migrants,4720,2335,2385,,,,,,6001009
2011,Whitehorse - City,Total - Mobility status 5 years ago,Movers,Internal migrants,3740,1760,1985,,,,,,6001009
2011,Whitehorse - City,Total - Mobility status 5 years ago,Movers,Intraprovincial migrants,550,290,260,,,,,,6001009
2011,Whitehorse - City,Total - Mobility status 5 years ago,Movers,Interprovincial migrants,3190,1470,1725,,,,,,6001009
2011,Whitehorse - City,Total - Mobility status 5 years ago,Movers,External migrants,980,575,400,,,,,,6001009
2011,Alaska Highway North Region,,,Total - Mobility status 1 year ago,835,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total - Mobility status 1 year ago,,Non-movers,680,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total - Mobility status 1 year ago,,Movers,155,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total - Mobility status 1 year ago,Movers,Non-migrants,35,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total - Mobility status 1 year ago,Movers,Migrants,120,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total - Mobility status 1 year ago,Movers,Internal migrants,105,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total - Mobility status 1 year ago,Movers,Intraprovincial migrants,50,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total - Mobility status 1 year ago,Movers,Interprovincial migrants,55,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total - Mobility status 1 year ago,Movers,External migrants,20,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Total - Mobility status 5 years ago,790,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total - Mobility status 5 years ago,,Non-movers,440,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total - Mobility status 5 years ago,,Movers,350,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total - Mobility status 5 years ago,Movers,Non-migrants,95,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total - Mobility status 5 years ago,Movers,Migrants,250,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total - Mobility status 5 years ago,Movers,Internal migrants,225,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total - Mobility status 5 years ago,Movers,Intraprovincial migrants,120,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total - Mobility status 5 years ago,Movers,Interprovincial migrants,105,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total - Mobility status 5 years ago,Movers,External migrants,25,,,,,,,,YBS042039049018
2011,Beaver Creek,,,Total - Mobility status 1 year ago,95,50,45,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs68'>68</a>,6001042
2011,Beaver Creek,Total - Mobility status 1 year ago,,Non-movers,75,40,35,,,,,,6001042
2011,Beaver Creek,Total - Mobility status 1 year ago,,Movers,20,10,10,,,,,,6001042
2011,Beaver Creek,Total - Mobility status 1 year ago,Movers,Non-migrants,0,0,0,,,,,,6001042
2011,Beaver Creek,Total - Mobility status 1 year ago,Movers,Migrants,20,10,10,,,,,,6001042
2011,Beaver Creek,Total - Mobility status 1 year ago,Movers,Internal migrants,15,10,10,,,,,,6001042
2011,Beaver Creek,Total - Mobility status 1 year ago,Movers,Intraprovincial migrants,0,0,0,,,,,,6001042
2011,Beaver Creek,Total - Mobility status 1 year ago,Movers,Interprovincial migrants,15,10,0,,,,,,6001042
2011,Beaver Creek,Total - Mobility status 1 year ago,Movers,External migrants,0,0,0,,,,,,6001042
2011,Beaver Creek,,,Total - Mobility status 5 years ago,90,50,45,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs69'>69</a>,6001042
2011,Beaver Creek,Total - Mobility status 5 years ago,,Non-movers,50,30,20,,,,,,6001042
2011,Beaver Creek,Total - Mobility status 5 years ago,,Movers,40,25,20,,,,,,6001042
2011,Beaver Creek,Total - Mobility status 5 years ago,Movers,Non-migrants,0,0,10,,,,,,6001042
2011,Beaver Creek,Total - Mobility status 5 years ago,Movers,Migrants,30,20,15,,,,,,6001042
2011,Beaver Creek,Total - Mobility status 5 years ago,Movers,Internal migrants,30,20,10,,,,,,6001042
2011,Beaver Creek,Total - Mobility status 5 years ago,Movers,Intraprovincial migrants,10,10,10,,,,,,6001042
2011,Beaver Creek,Total - Mobility status 5 years ago,Movers,Interprovincial migrants,20,15,10,,,,,,6001042
2011,Beaver Creek,Total - Mobility status 5 years ago,Movers,External migrants,0,0,0,,,,,,6001042
2011,Burwash Landing,,,Total - Mobility status 1 year ago,95,45,45,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs68'>68</a>,6001039
2011,Burwash Landing,Total - Mobility status 1 year ago,,Non-movers,55,30,25,,,,,,6001039
2011,Burwash Landing,Total - Mobility status 1 year ago,,Movers,35,10,20,,,,,,6001039
2011,Burwash Landing,Total - Mobility status 1 year ago,Movers,Non-migrants,0,0,0,,,,,,6001039
2011,Burwash Landing,Total - Mobility status 1 year ago,Movers,Migrants,35,15,20,,,,,,6001039
2011,Burwash Landing,Total - Mobility status 1 year ago,Movers,Internal migrants,35,10,20,,,,,,6001039
2011,Burwash Landing,Total - Mobility status 1 year ago,Movers,Intraprovincial migrants,15,0,10,,,,,,6001039
2011,Burwash Landing,Total - Mobility status 1 year ago,Movers,Interprovincial migrants,15,10,10,,,,,,6001039
2011,Burwash Landing,Total - Mobility status 1 year ago,Movers,External migrants,0,0,0,,,,,,6001039
2011,Burwash Landing,,,Total - Mobility status 5 years ago,90,45,45,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs69'>69</a>,6001039
2011,Burwash Landing,Total - Mobility status 5 years ago,,Non-movers,40,25,15,,,,,,6001039
2011,Burwash Landing,Total - Mobility status 5 years ago,,Movers,45,20,30,,,,,,6001039
2011,Burwash Landing,Total - Mobility status 5 years ago,Movers,Non-migrants,0,0,0,,,,,,6001039
2011,Burwash Landing,Total - Mobility status 5 years ago,Movers,Migrants,40,20,20,,,,,,6001039
2011,Burwash Landing,Total - Mobility status 5 years ago,Movers,Internal migrants,40,20,20,,,,,,6001039
2011,Burwash Landing,Total - Mobility status 5 years ago,Movers,Intraprovincial migrants,25,10,15,,,,,,6001039
2011,Burwash Landing,Total - Mobility status 5 years ago,Movers,Interprovincial migrants,15,10,10,,,,,,6001039
2011,Burwash Landing,Total - Mobility status 5 years ago,Movers,External migrants,0,0,0,,,,,,6001039
2011,Carcross,,,Total - Mobility status 1 year ago,280,160,120,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs68'>68</a>,6001048
2011,Carcross,Total - Mobility status 1 year ago,,Non-movers,230,135,95,,,,,,6001048
2011,Carcross,Total - Mobility status 1 year ago,,Movers,50,25,25,,,,,,6001048
2011,Carcross,Total - Mobility status 1 year ago,Movers,Non-migrants,20,10,10,,,,,,6001048
2011,Carcross,Total - Mobility status 1 year ago,Movers,Migrants,30,15,10,,,,,,6001048
2011,Carcross,Total - Mobility status 1 year ago,Movers,Internal migrants,30,15,10,,,,,,6001048
2011,Carcross,Total - Mobility status 1 year ago,Movers,Intraprovincial migrants,15,10,10,,,,,,6001048
2011,Carcross,Total - Mobility status 1 year ago,Movers,Interprovincial migrants,10,0,10,,,,,,6001048
2011,Carcross,Total - Mobility status 1 year ago,Movers,External migrants,0,0,0,,,,,,6001048
2011,Carcross,,,Total - Mobility status 5 years ago,265,150,115,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs69'>69</a>,6001048
2011,Carcross,Total - Mobility status 5 years ago,,Non-movers,170,100,70,,,,,,6001048
2011,Carcross,Total - Mobility status 5 years ago,,Movers,95,50,45,,,,,,6001048
2011,Carcross,Total - Mobility status 5 years ago,Movers,Non-migrants,30,20,10,,,,,,6001048
2011,Carcross,Total - Mobility status 5 years ago,Movers,Migrants,70,35,30,,,,,,6001048
2011,Carcross,Total - Mobility status 5 years ago,Movers,Internal migrants,65,35,30,,,,,,6001048
2011,Carcross,Total - Mobility status 5 years ago,Movers,Intraprovincial migrants,30,15,15,,,,,,6001048
2011,Carcross,Total - Mobility status 5 years ago,Movers,Interprovincial migrants,35,20,20,,,,,,6001048
2011,Carcross,Total - Mobility status 5 years ago,Movers,External migrants,10,0,0,,,,,,6001048
2011,Carcross Region,,,Total - Mobility status 1 year ago,335,,,,,,,,YBS048008
2011,Carcross Region,Total - Mobility status 1 year ago,,Non-movers,285,,,,,,,,YBS048008
2011,Carcross Region,Total - Mobility status 1 year ago,,Movers,55,,,,,,,,YBS048008
2011,Carcross Region,Total - Mobility status 1 year ago,Movers,Non-migrants,25,,,,,,,,YBS048008
2011,Carcross Region,Total - Mobility status 1 year ago,Movers,Migrants,25,,,,,,,,YBS048008
2011,Carcross Region,Total - Mobility status 1 year ago,Movers,Internal migrants,25,,,,,,,,YBS048008
2011,Carcross Region,Total - Mobility status 1 year ago,Movers,Intraprovincial migrants,15,,,,,,,,YBS048008
2011,Carcross Region,Total - Mobility status 1 year ago,Movers,Interprovincial migrants,10,,,,,,,,YBS048008
2011,Carcross Region,Total - Mobility status 1 year ago,Movers,External migrants,0,,,,,,,,YBS048008
2011,Carcross Region,,,Total - Mobility status 5 years ago,320,,,,,,,,YBS048008
2011,Carcross Region,Total - Mobility status 5 years ago,,Non-movers,205,,,,,,,,YBS048008
2011,Carcross Region,Total - Mobility status 5 years ago,,Movers,110,,,,,,,,YBS048008
2011,Carcross Region,Total - Mobility status 5 years ago,Movers,Non-migrants,30,,,,,,,,YBS048008
2011,Carcross Region,Total - Mobility status 5 years ago,Movers,Migrants,80,,,,,,,,YBS048008
2011,Carcross Region,Total - Mobility status 5 years ago,Movers,Internal migrants,80,,,,,,,,YBS048008
