census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,21245,10815,10435,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs88'>88</a>,6001
2011,Yukon,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,,Occupation - not applicable,370,210,160,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs89'>89</a>,6001
2011,Yukon,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,,All occupations,20880,10600,10275,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs86'>86</a>,6001
2011,Yukon,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,0 Management occupations,2515,1375,1135,,,,,,6001
2011,Yukon,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,1 Business; finance and administration occupations,3640,825,2815,,,,,,6001
2011,Yukon,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,2 Natural and applied sciences and related occupations,1625,1255,370,,,,,,6001
2011,Yukon,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,3 Health occupations,940,175,760,,,,,,6001
2011,Yukon,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,4 Occupations in education; law and social; community and government services,3010,975,2035,,,,,,6001
2011,Yukon,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,5 Occupations in art; culture; recreation and sport,730,225,500,,,,,,6001
2011,Yukon,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,6 Sales and service occupations,4060,1740,2320,,,,,,6001
2011,Yukon,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,7 Trades; transport and equipment operators and related occupations,3680,3430,250,,,,,,6001
2011,Yukon,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,8 Natural resources; agriculture and related production occupations,390,335,55,,,,,,6001
2011,Yukon,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,9 Occupations in manufacturing and utilities,290,260,30,,,,,,6001
2011,Whitehorse - City,,,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,14890,7490,7400,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs88'>88</a>,6001009
2011,Whitehorse - City,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,,Occupation - not applicable,230,115,115,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs89'>89</a>,6001009
2011,Whitehorse - City,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,,All occupations,14665,7380,7285,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs86'>86</a>,6001009
2011,Whitehorse - City,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,0 Management occupations,1755,965,790,,,,,,6001009
