census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Total number of occupied private dwellings by condition of dwelling,14115,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs98'>98</a>,6001
2011,Yukon,Total number of occupied private dwellings by condition of dwelling,,Only regular maintenance or minor repairs needed,11835,,,,...,...,,,6001
2011,Yukon,Total number of occupied private dwellings by condition of dwelling,,Major repairs needed,2285,,,,...,...,,,6001
2011,Yukon,,,Total number of occupied private dwellings by period of construction,14120,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs99'>99</a>,6001
2011,Yukon,Total number of occupied private dwellings by period of construction,,1960 or before,1710,,,,...,...,,,6001
2011,Yukon,Total number of occupied private dwellings by period of construction,,1961 to 1980,4635,,,,...,...,,,6001
2011,Yukon,Total number of occupied private dwellings by period of construction,,1981 to 1990,2640,,,,...,...,,,6001
2011,Yukon,Total number of occupied private dwellings by period of construction,,1991 to 2000,2640,,,,...,...,,,6001
2011,Yukon,Total number of occupied private dwellings by period of construction,,2001 to 2005,900,,,,...,...,,,6001
2011,Yukon,Total number of occupied private dwellings by period of construction,,2006 to 2011,1590,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs100'>100</a>,6001
2011,Yukon,,,Total number of occupied private dwellings by number of rooms,14120,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs101'>101</a>,6001
2011,Yukon,Total number of occupied private dwellings by number of rooms,,1 to 4 rooms,4630,,,,...,...,,,6001
2011,Yukon,Total number of occupied private dwellings by number of rooms,,5 rooms,2295,,,,...,...,,,6001
2011,Yukon,Total number of occupied private dwellings by number of rooms,,6 rooms,2340,,,,...,...,,,6001
2011,Yukon,Total number of occupied private dwellings by number of rooms,,7 rooms,1560,,,,...,...,,,6001
2011,Yukon,Total number of occupied private dwellings by number of rooms,,8 or more rooms,3290,,,,...,...,,,6001
2011,Yukon,,,Average number of rooms per dwelling,5.8,,,,...,...,,,6001
2011,Yukon,,,Total number of occupied private dwellings by number of bedrooms,14115,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs102'>102</a>,6001
2011,Yukon,Total number of occupied private dwellings by number of bedrooms,,0 to 1 bedroom,2400,,,,...,...,,,6001
2011,Yukon,Total number of occupied private dwellings by number of bedrooms,,2 bedrooms,3920,,,,...,...,,,6001
2011,Yukon,Total number of occupied private dwellings by number of bedrooms,,3 bedrooms,5050,,,,...,...,,,6001
2011,Yukon,Total number of occupied private dwellings by number of bedrooms,,4 or more bedrooms,2745,,,,...,...,,,6001
2011,Whitehorse - City,,,Total number of occupied private dwellings by condition of dwelling,9310,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs98'>98</a>,6001009
2011,Whitehorse - City,Total number of occupied private dwellings by condition of dwelling,,Only regular maintenance or minor repairs needed,8240,,,,...,...,,,6001009
