census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Population in 2011,33897,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001
2011,Yukon,,,Population in 2006,30372,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001
2011,Yukon,,,2006 to 2011 population change (%),11.6,,,,...,...,,,6001
2011,Yukon,,,Total private dwellings,16259,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,6001
2011,Yukon,,,Private dwellings occupied by usual residents,14117,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,6001
2011,Yukon,,,Population density per square kilometre,0.1,,,,...,...,,,6001
2011,Yukon,,,Land area (square km),474712.64,,,,...,...,,,6001
2011,Whitehorse - Area,,,Population in 2011,26028,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,990
2011,Whitehorse - Area,,,Population in 2006,22898,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,990
2011,Whitehorse - Area,,,2006 to 2011 population change (%),13.7,,,,...,...,,,990
2011,Whitehorse - Area,,,Total private dwellings,11167,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,990
2011,Whitehorse - Area,,,Private dwellings occupied by usual residents,10525,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,990
2011,Whitehorse - Area,,,Population density per square kilometre,3.1,,,,...,...,,,990
2011,Whitehorse - Area,,,Land area (square km),8488.91,,,,...,...,,,990
2011,Whitehorse - City,,,Population; 2011,23276,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,990
2011,Whitehorse - City,,,Population; 2006,20461,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,990
2011,Whitehorse - City,,,Population percentage change; 2006 to 2011,13.8,,,,...,...,,,990
2011,Whitehorse - City,,,Total private dwellings,9649,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,990
2011,Whitehorse - City,,,Private dwellings occupied by usual residents,9309,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,990
2011,Whitehorse - City,,,Population density per square kilometre,55.9,,,,...,...,,,990
2011,Whitehorse - City,,,Land area in square kilometres,416.54,,,,...,...,,,990
2011,Beaver Creek,,,Population; 2011,103,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,YBS042039049018
2011,Beaver Creek,,,Population; 2006,112,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,YBS042039049018
2011,Beaver Creek,,,Population percentage change; 2006 to 2011,-8,,,,...,...,,,YBS042039049018
2011,Beaver Creek,,,Total private dwellings,76,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,YBS042039049018
2011,Beaver Creek,,,Private dwellings occupied by usual residents,52,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,YBS042039049018
2011,Beaver Creek,,,Population density per square kilometre,3.8,,,,...,...,,,YBS042039049018
2011,Beaver Creek,,,Land area in square kilometres,27.14,,,,...,...,,,YBS042039049018
2011,Burwash Landing,,,Population; 2011,95,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001039
2011,Burwash Landing,,,Population; 2006,73,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001039
2011,Burwash Landing,,,Population percentage change; 2006 to 2011,30.1,,,,...,...,,,6001039
2011,Burwash Landing,,,Total private dwellings,73,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,6001039
2011,Burwash Landing,,,Private dwellings occupied by usual residents,50,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,6001039
2011,Burwash Landing,,,Population density per square kilometre,3.2,,,,...,...,,,6001039
2011,Burwash Landing,,,Land area in square kilometres,30.09,,,,...,...,,,6001039
2011,Carcross,,,Population; 2011,289,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001039
2011,Carcross,,,Population; 2006,280,,,A,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001048
2011,Carcross,,,Population percentage change; 2006 to 2011,3.2,,,,...,...,,,6001048
2011,Carcross,,,Total private dwellings,198,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,6001048
2011,Carcross,,,Private dwellings occupied by usual residents,143,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,6001048
2011,Carcross,,,Population density per square kilometre,17.9,,,,...,...,,,6001048
2011,Carcross,,,Land area in square kilometres,16.14,,,,...,...,,,6001048
2011,Carcross 4,,,Population; 2011,53,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,YBS048008
2011,Carcross 4,,,Population; 2006,51,,,A,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,YBS048008
2011,Carcross 4,,,Population percentage change; 2006 to 2011,3.9,,,,...,...,,,YBS048008
2011,Carcross 4,,,Total private dwellings,23,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,YBS048008
2011,Carcross 4,,,Private dwellings occupied by usual residents,23,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,YBS048008
2011,Carcross 4,,,Population density per square kilometre,71.7,,,,...,...,,,YBS048008
