census_year,geo_name,category,subcategory,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Yukon,,,Total labour force aged 15 years and over by work activity in 2010,Work activity,21250,10815,10435,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs91'>91</a>,6001
2011,Yukon,Total labour force aged 15 years and over by work activity in 2010,,Did not work in 2010,Work activity,940,485,455,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs92'>92</a>,6001
2011,Yukon,Total labour force aged 15 years and over by work activity in 2010,,Worked in 2010,Work activity,20310,10330,9975,,,,,,6001
2011,Yukon,Total labour force aged 15 years and over by work activity in 2010,Worked in 2010,1 to 13 weeks,Work activity,1055,550,505,,,,,,6001
2011,Yukon,Total labour force aged 15 years and over by work activity in 2010,Worked in 2010,14 to 26 weeks,Work activity,2355,1270,1085,,,,,,6001
2011,Yukon,Total labour force aged 15 years and over by work activity in 2010,Worked in 2010,27 to 39 weeks,Work activity,1910,975,935,,,,,,6001
2011,Yukon,Total labour force aged 15 years and over by work activity in 2010,Worked in 2010,40 to 48 weeks,Work activity,3175,1540,1635,,,,,,6001
2011,Yukon,Total labour force aged 15 years and over by work activity in 2010,Worked in 2010,49 to 52 weeks,Work activity,11815,5995,5820,,,,,,6001
2011,Yukon,,,Average weeks worked in 2010,Work activity,43,42.8,43.3,,,,,,6001
2011,Yukon,,,Total labour force population aged 15 years and over by full-time or part-time weeks worked in 2010,Full-time or part-time weeks worked,21245,10810,10440,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs93'>93</a>,6001
2011,Yukon,Total labour force population aged 15 years and over by full-time or part-time weeks worked in 2010,,Did not work in 2010,Full-time or part-time weeks worked,940,485,460,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs92'>92</a>,6001
2011,Yukon,Total labour force population aged 15 years and over by full-time or part-time weeks worked in 2010,,Worked in 2010,Full-time or part-time weeks worked,20310,10330,9980,,,,,,6001
2011,Yukon,Total labour force population aged 15 years and over by full-time or part-time weeks worked in 2010,Worked in 2010,Worked full-time in 2010,Full-time or part-time weeks worked,17120,9015,8105,,,,,,6001
2011,Yukon,Total labour force population aged 15 years and over by full-time or part-time weeks worked in 2010,Worked in 2010,Worked part-time in 2010,Full-time or part-time weeks worked,3185,1310,1875,,,,,,6001
2011,Whitehorse - City,,,Total labour force aged 15 years and over by work activity in 2010,Work activity,14890,7490,7405,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs91'>91</a>,6001009
2011,Whitehorse - City,Total labour force aged 15 years and over by work activity in 2010,,Did not work in 2010,Work activity,645,330,320,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs92'>92</a>,6001009
2011,Whitehorse - City,Total labour force aged 15 years and over by work activity in 2010,,Worked in 2010,Work activity,14245,7160,7080,,,,,,6001009
2011,Whitehorse - City,Total labour force aged 15 years and over by work activity in 2010,Worked in 2010,1 to 13 weeks,Work activity,635,305,330,,,,,,6001009
2011,Whitehorse - City,Total labour force aged 15 years and over by work activity in 2010,Worked in 2010,14 to 26 weeks,Work activity,1390,730,660,,,,,,6001009
2011,Whitehorse - City,Total labour force aged 15 years and over by work activity in 2010,Worked in 2010,27 to 39 weeks,Work activity,1225,675,555,,,,,,6001009
2011,Whitehorse - City,Total labour force aged 15 years and over by work activity in 2010,Worked in 2010,40 to 48 weeks,Work activity,2270,1095,1170,,,,,,6001009
2011,Whitehorse - City,Total labour force aged 15 years and over by work activity in 2010,Worked in 2010,49 to 52 weeks,Work activity,8720,4355,4360,,,,,,6001009
2011,Whitehorse - City,,,Average weeks worked in 2010,Work activity,44.1,43.9,44.3,,,,,,6001009
2011,Whitehorse - City,,,Total labour force population aged 15 years and over by full-time or part-time weeks worked in 2010,Full-time or part-time weeks worked,14890,7490,7405,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs93'>93</a>,6001009
2011,Whitehorse - City,Total labour force population aged 15 years and over by full-time or part-time weeks worked in 2010,,Did not work in 2010,Full-time or part-time weeks worked,645,330,320,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs92'>92</a>,6001009
2011,Whitehorse - City,Total labour force population aged 15 years and over by full-time or part-time weeks worked in 2010,,Worked in 2010,Full-time or part-time weeks worked,14245,7160,7080,,,,,,6001009
2011,Whitehorse - City,Total labour force population aged 15 years and over by full-time or part-time weeks worked in 2010,Worked in 2010,Worked full-time in 2010,Full-time or part-time weeks worked,12000,6265,5735,,,,,,6001009
2011,Whitehorse - City,Total labour force population aged 15 years and over by full-time or part-time weeks worked in 2010,Worked in 2010,Worked part-time in 2010,Full-time or part-time weeks worked,2245,900,1350,,,,,,6001009
2011,Alaska Highway North Region,,,Total labour force aged 15 years and over by work activity in 2010,Work activity,540,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total labour force aged 15 years and over by work activity in 2010,,Did not work in 2010,Work activity,0,,,,,,,,6001042
2011,Alaska Highway North Region,Total labour force aged 15 years and over by work activity in 2010,,Worked in 2010,Work activity,535,,,,,,,,6001042
2011,Alaska Highway North Region,Total labour force aged 15 years and over by work activity in 2010,Worked in 2010,1 to 13 weeks,Work activity,40,,,,,,,,6001042
2011,Alaska Highway North Region,Total labour force aged 15 years and over by work activity in 2010,Worked in 2010,14 to 26 weeks,Work activity,100,,,,,,,,6001042
