census_year,geo_name,category,sub_category,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2016,Yukon,,,Total - Citizenship for the population in private households - 25% sample data,35110,17640,17465,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote45'>45</a>,6001
2016,Yukon,Total - Citizenship for the population in private households - 25% sample data,,Canadian citizens,32955,16610,16350,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote46'>46</a>,6001
2016,Yukon,Total - Citizenship for the population in private households - 25% sample data,Canadian citizens,Canadian citizens aged under 18,7085,3700,3390,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Citizenship for the population in private households - 25% sample data,Canadian citizens,Canadian citizens aged 18 and over,25875,12910,12965,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Citizenship for the population in private households - 25% sample data,,Not Canadian citizens,2155,1035,1120,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote47'>47</a>,6001
2016,Whitehorse - Area,,,Total - Citizenship for the population in private households - 25% sample data,27660,13755,13905,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote45'>45</a>,990
2016,Whitehorse - Area,Total - Citizenship for the population in private households - 25% sample data,,Canadian citizens,25875,12880,12995,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote46'>46</a>,990
2016,Whitehorse - Area,Total - Citizenship for the population in private households - 25% sample data,Canadian citizens,Canadian citizens aged under 18,5685,2945,2740,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=990'>View boundary on map</a>,,990
2016,Whitehorse - Area,Total - Citizenship for the population in private households - 25% sample data,Canadian citizens,Canadian citizens aged 18 and over,20195,9935,10255,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=990'>View boundary on map</a>,,990
2016,Whitehorse - Area,Total - Citizenship for the population in private households - 25% sample data,,Not Canadian citizens,1780,875,910,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote47'>47</a>,990
