census_year,geo_name,category,sub_category,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2016,Yukon,,,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,Highest certificate; diploma or degree,28875,14310,14565,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote146'>146</a>,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,,No certificate; diploma or degree,Highest certificate; diploma or degree,4715,2635,2080,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,,Secondary (high) school diploma or equivalency certificate,Highest certificate; diploma or degree,6835,3325,3505,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote147'>147</a>,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,,Postsecondary certificate; diploma or degree,Highest certificate; diploma or degree,17335,8350,8985,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,Postsecondary certificate; diploma or degree,Apprenticeship or trades certificate or diploma,Highest certificate; diploma or degree,3145,2450,695,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,Postsecondary certificate; diploma or degree,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,Highest certificate; diploma or degree,1230,785,445,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote148'>148</a>,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,Postsecondary certificate; diploma or degree,Certificate of Apprenticeship or Certificate of Qualification,Highest certificate; diploma or degree,1915,1665,255,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote149'>149</a>,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,Postsecondary certificate; diploma or degree,College; CEGEP or other non-university certificate or diploma,Highest certificate; diploma or degree,6120,2520,3600,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,Postsecondary certificate; diploma or degree,University certificate or diploma below bachelor level,Highest certificate; diploma or degree,825,320,500,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,Postsecondary certificate; diploma or degree,University certificate; diploma or degree at bachelor level or above,Highest certificate; diploma or degree,7250,3060,4195,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,Postsecondary certificate; diploma or degree,Bachelor's degree,Highest certificate; diploma or degree,4790,1955,2835,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,Postsecondary certificate; diploma or degree,University certificate or diploma above bachelor level,Highest certificate; diploma or degree,435,175,260,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,Postsecondary certificate; diploma or degree,Degree in medicine; dentistry; veterinary medicine or optometry,Highest certificate; diploma or degree,190,115,75,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,Postsecondary certificate; diploma or degree,Master's degree,Highest certificate; diploma or degree,1695,745,955,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data,Postsecondary certificate; diploma or degree,Earned doctorate,Highest certificate; diploma or degree,135,65,70,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote150'>150</a>,6001
2016,Yukon,,,Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data,Highest certificate; diploma or degree,21030,10190,10845,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote146'>146</a>,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data,,No certificate; diploma or degree,Highest certificate; diploma or degree,2255,1400,855,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data,,Secondary (high) school diploma or equivalency certificate,Highest certificate; diploma or degree,4400,2065,2340,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote147'>147</a>,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data,,Postsecondary certificate; diploma or degree,Highest certificate; diploma or degree,14375,6730,7650,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data,Postsecondary certificate; diploma or degree,Apprenticeship or trades certificate or diploma,Highest certificate; diploma or degree,2400,1875,520,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data,Postsecondary certificate; diploma or degree,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,Highest certificate; diploma or degree,885,560,325,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote148'>148</a>,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data,Postsecondary certificate; diploma or degree,Certificate of Apprenticeship or Certificate of Qualification,Highest certificate; diploma or degree,1510,1320,190,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote149'>149</a>,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data,Postsecondary certificate; diploma or degree,College; CEGEP or other non-university certificate or diploma,Highest certificate; diploma or degree,4975,2020,2955,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data,Postsecondary certificate; diploma or degree,University certificate or diploma below bachelor level,Highest certificate; diploma or degree,665,250,410,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data,Postsecondary certificate; diploma or degree,University certificate; diploma or degree at bachelor level or above,Highest certificate; diploma or degree,6340,2575,3765,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data,Postsecondary certificate; diploma or degree,Bachelor's degree,Highest certificate; diploma or degree,4190,1660,2530,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data,Postsecondary certificate; diploma or degree,University certificate or diploma above bachelor level,Highest certificate; diploma or degree,380,140,235,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data,Postsecondary certificate; diploma or degree,Degree in medicine; dentistry; veterinary medicine or optometry,Highest certificate; diploma or degree,165,90,75,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
