census_year,geo_name,category,sub_category,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2016,Yukon,,,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,28895,14325,14565,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote21'>21</a>,6001
2016,Yukon,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,,Number of total income recipients aged 15 years and over in private households - 100% data,27975,13845,14135,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Number of total income recipients aged 15 years and over in private households - 100% data,Median total income in 2015 among recipients ($),45804,48685,43192,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,,Number of after-tax income recipients aged 15 years and over in private households - 100% data,27975,13840,14130,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Number of after-tax income recipients aged 15 years and over in private households - 100% data,Median after-tax income in 2015 among recipients ($),41235,43240,39353,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,,Number of market income recipients aged 15 years and over in private households - 100% data,26300,13005,13295,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Number of market income recipients aged 15 years and over in private households - 100% data,Median market income in 2015 among recipients ($),43961,47135,40806,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,,Number of government transfers recipients aged 15 years and over in private households - 100% data,17670,8205,9465,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Number of government transfers recipients aged 15 years and over in private households - 100% data,Median government transfers in 2015 among recipients ($),4724,4742,4708,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,,Number of employment income recipients aged 15 years and over in private households - 100% data,23940,11925,12015,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
