census_year,geo_name,category,sub_category,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2016,Yukon,,,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,19790,9765,10025,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote174'>174</a>,6001
2016,Yukon,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,,Worked at home,1420,770,655,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,,Worked outside Canada,25,10,20,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,,No fixed workplace address,2330,1795,540,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,,Worked at usual place,16010,7200,8815,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Whitehorse - Area,,,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,16150,7970,8180,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote174'>174</a>,990
2016,Whitehorse - Area,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,,Worked at home,1140,625,515,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=990'>View boundary on map</a>,,990
2016,Whitehorse - Area,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,,Worked outside Canada,20,0,10,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=990'>View boundary on map</a>,,990
2016,Whitehorse - Area,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,,No fixed workplace address,1725,1300,420,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=990'>View boundary on map</a>,,990
2016,Whitehorse - Area,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,,Worked at usual place,13265,6040,7230,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=990'>View boundary on map</a>,,990
2016,Whitehorse - City,,,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,14340,7080,7260,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote174'>174</a>,6001009
2016,Whitehorse - City,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,,Worked at home,915,505,410,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2016,Whitehorse - City,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,,Worked outside Canada,15,0,10,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2016,Whitehorse - City,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,,No fixed workplace address,1500,1130,370,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2016,Whitehorse - City,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,,Worked at usual place,11915,5445,6470,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2016,Beaver Creek,,,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,50,25,25,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001042'>View boundary on map</a>,,6001042
2016,Beaver Creek,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,,Worked at home,10,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001042'>View boundary on map</a>,,6001042
