census_year,geo_name,category,sub_category,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Yukon,,,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,Children eligible for instruction in the minority official language,8210,4280,3930,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote203'>203</a>,6001
2021,Yukon,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,,Children eligible for instruction in the minority official language,Children eligible for instruction in the minority official language,1160,610,545,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,,Children not eligible for instruction in the minority official language,Children eligible for instruction in the minority official language,7050,3675,3380,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,,,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Eligibility and instruction in the minority official language for school-aged children,5845,3075,2770,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote204'>204</a>,6001
2021,Yukon,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,,Children eligible for instruction in the minority official language,Eligibility and instruction in the minority official language for school-aged children,810,425,380,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Children eligible for instruction in the minority official language,Eligible children who have been instructed in the minority official language at the primary or secondary level in Canada,Eligibility and instruction in the minority official language for school-aged children,575,300,280,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Children eligible for instruction in the minority official language,Eligible children who have not been instructed in the minority official language at the primary or secondary level in Canada,Eligibility and instruction in the minority official language for school-aged children,235,130,105,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,,Children not eligible for instruction in the minority official language,Eligibility and instruction in the minority official language for school-aged children,5030,2645,2385,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Whitehorse - Area,,,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,Children eligible for instruction in the minority official language,6630,3470,3155,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote203'>203</a>,990
2021,Whitehorse - Area,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,,Children eligible for instruction in the minority official language,Children eligible for instruction in the minority official language,990,525,465,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
