census_year,geo_name,category,sub_category,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Yukon,,,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,23520,11585,11940,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote189'>189</a>,6001
2021,Yukon,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,,Class of worker - not applicable,380,200,180,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote190'>190</a>,6001
2021,Yukon,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,,All classes of workers,23140,11380,11755,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote191'>191</a>,6001
2021,Yukon,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,All classes of workers,Employee,19945,9495,10455,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,All classes of workers,Permanent position,15505,7415,8095,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,All classes of workers,Temporary position,4440,2080,2360,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,All classes of workers,Fixed term (1 year or more),1395,645,750,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,All classes of workers,Casual; seasonal or short-term position (less than 1 year),3050,1440,1610,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,All classes of workers,Self-employed,3190,1890,1305,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote192'>192</a>,6001
2021,Whitehorse - Area,,,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,19040,9330,9715,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote189'>189</a>,990
2021,Whitehorse - Area,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,,Class of worker - not applicable,240,135,110,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote190'>190</a>,990
2021,Whitehorse - Area,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,,All classes of workers,18800,9195,9605,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote191'>191</a>,990
2021,Whitehorse - Area,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,All classes of workers,Employee,16210,7680,8530,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,All classes of workers,Permanent position,13030,6190,6845,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,All classes of workers,Temporary position,3180,1495,1685,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,All classes of workers,Fixed term (1 year or more),1120,515,600,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,All classes of workers,Casual; seasonal or short-term position (less than 1 year),2065,975,1085,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,All classes of workers,Self-employed,2590,1515,1080,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote192'>192</a>,990
2021,Whitehorse - City,,,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,16900,8250,8655,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote189'>189</a>,6001009
