census_year,geo_name,category,sub_category,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Yukon,,,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrant status and period of immigration,39585,19715,19875,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote79'>79</a>,6001
2021,Yukon,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,,Non-immigrants,Immigrant status and period of immigration,33280,16680,16600,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote80'>80</a>,6001
2021,Yukon,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,,Immigrants,Immigrant status and period of immigration,5385,2550,2835,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote81'>81</a>,6001
2021,Yukon,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,Before 1980,Immigrant status and period of immigration,1100,545,545,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,1980 to 1990,Immigrant status and period of immigration,390,185,200,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,1991 to 2000,Immigrant status and period of immigration,680,275,410,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,2001 to 2010,Immigrant status and period of immigration,1055,495,565,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,2011 to 2021,Immigrant status and period of immigration,2160,1050,1110,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote82'>82</a>,6001
2021,Yukon,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,2011 to 2015,Immigrant status and period of immigration,1030,480,550,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,2016 to 2021,Immigrant status and period of immigration,1125,565,560,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,,Non-permanent residents,Immigrant status and period of immigration,925,490,440,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote83'>83</a>,6001
2021,Yukon,,,Total - Age at immigration for the immigrant population in private households - 25% sample data,Age at immigration,5385,2545,2835,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote84'>84</a>,6001
2021,Yukon,Total - Age at immigration for the immigrant population in private households - 25% sample data,,Under 5 years,Age at immigration,455,225,235,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Age at immigration for the immigrant population in private households - 25% sample data,,5 to 14 years,Age at immigration,840,410,430,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Age at immigration for the immigrant population in private households - 25% sample data,,15 to 24 years,Age at immigration,1030,495,535,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Age at immigration for the immigrant population in private households - 25% sample data,,25 to 44 years,Age at immigration,2610,1200,1405,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
