census_year,geo_name,category,sub_category,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Yukon,,,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous population,39590,19710,19875,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote44'>44</a>,6001
2021,Yukon,Total - Indigenous identity for the population in private households - 25% sample data,,Indigenous identity,Indigenous population,8810,4190,4615,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote45'>45</a>,6001
2021,Yukon,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Single Indigenous responses,Indigenous population,8485,4035,4445,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote46'>46</a>,6001
2021,Yukon,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,First Nations (North American Indian),Indigenous population,6935,3320,3615,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Métis,Indigenous population,1285,600,685,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Inuk (Inuit),Indigenous population,260,115,150,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Multiple Indigenous responses,Indigenous population,190,95,95,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote47'>47</a>,6001
2021,Yukon,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Indigenous responses not included elsewhere,Indigenous population,135,60,75,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote48'>48</a>,6001
2021,Yukon,Total - Indigenous identity for the population in private households - 25% sample data,,Non-Indigenous identity,Indigenous population,30780,15520,15255,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,,,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,Indigenous population,39590,19710,19875,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote44'>44</a>,6001
2021,Yukon,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,,Registered or Treaty Indian,Indigenous population,6145,2950,3190,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote49'>49</a>,6001
2021,Yukon,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,,Not a Registered or Treaty Indian,Indigenous population,33445,16765,16680,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,,,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry,39585,19710,19875,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote68'>68</a>,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,,Indigenous ancestry (only),Indigenous ancestry,4750,2300,2455,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote69'>69</a>,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),Single Indigenous ancestry (only),Indigenous ancestry,4565,2225,2340,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote70'>70</a>,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),First Nations (North American Indian) single ancestry,Indigenous ancestry,4275,2080,2190,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),Métis single ancestry,Indigenous ancestry,155,85,70,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),Inuit single ancestry,Indigenous ancestry,135,60,75,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
