census_year,geo_name,category,sub_category,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Yukon,,,Total - LIM low-income status in 2020 for the population in private households - 100% data,39585,19715,19875,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote33'>33</a>,6001
2021,Yukon,Total - LIM low-income status in 2020 for the population in private households - 100% data,,0 to 17 years,8085,4205,3875,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - LIM low-income status in 2020 for the population in private households - 100% data,0 to 17 years,0 to 5 years,2675,1350,1320,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - LIM low-income status in 2020 for the population in private households - 100% data,,18 to 64 years,25750,12510,13235,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - LIM low-income status in 2020 for the population in private households - 100% data,,65 years and over,5755,2995,2760,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,,,In low income based on the Low-income measure; after tax (LIM-AT),2990,1565,1425,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,In low income based on the Low-income measure; after tax (LIM-AT),,0 to 17 years,625,330,295,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,In low income based on the Low-income measure; after tax (LIM-AT),0 to 17 years,0 to 5 years,230,105,125,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,In low income based on the Low-income measure; after tax (LIM-AT),,18 to 64 years,1610,835,780,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,In low income based on the Low-income measure; after tax (LIM-AT),,65 years and over,760,410,350,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,,,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),7.6,8,7.2,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,0 to 17 years (%),7.7,7.8,7.6,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),0 to 17 years (%),0 to 5 years (%),8.6,7.6,9.6,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,18 to 64 years (%),6.3,6.7,5.9,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,65 years and over (%),13.2,13.7,12.6,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,,,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote33'>33</a>,6001
