census_year,geo_name,category,sub_category,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Yukon,,,Total - Mobility status 1 year ago - 25% sample data,Mobility status 1 year ago,39175,19520,19655,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote163'>163</a>,6001
2021,Yukon,Total - Mobility status 1 year ago - 25% sample data,,Non-movers,Mobility status 1 year ago,33205,16705,16505,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Mobility status 1 year ago - 25% sample data,,Movers,Mobility status 1 year ago,5965,2815,3150,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Mobility status 1 year ago - 25% sample data,Movers,Non-migrants,Mobility status 1 year ago,3895,1815,2085,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Mobility status 1 year ago - 25% sample data,Movers,Migrants,Mobility status 1 year ago,2070,1000,1070,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Mobility status 1 year ago - 25% sample data,Movers,Internal migrants,Mobility status 1 year ago,1825,910,915,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Mobility status 1 year ago - 25% sample data,Movers,Intraprovincial migrants,Mobility status 1 year ago,480,220,260,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Mobility status 1 year ago - 25% sample data,Movers,Interprovincial migrants,Mobility status 1 year ago,1340,685,655,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Mobility status 1 year ago - 25% sample data,Movers,External migrants,Mobility status 1 year ago,245,95,150,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,,,Total - Mobility status 5 years ago - 25% sample data,Mobility status 5 years ago,37410,18645,18765,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote164'>164</a>,6001
