census_year,geo_name,category,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Yukon,,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,21905,10730,11175,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote198'>198</a>,6001
2021,Yukon,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Worked at home,2495,1105,1385,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Worked outside Canada,15,10,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,No fixed workplace address,2615,1965,650,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Usual place of work,16785,7645,9135,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Whitehorse - Area,,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,18030,8795,9235,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote198'>198</a>,990
2021,Whitehorse - Area,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Worked at home,2145,935,1210,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Worked outside Canada,15,10,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,No fixed workplace address,2020,1545,480,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Usual place of work,13850,6305,7545,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - City,,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,15960,7760,8205,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote198'>198</a>,6001009
2021,Whitehorse - City,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Worked at home,1725,770,955,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Worked outside Canada,15,10,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,No fixed workplace address,1715,1290,420,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Usual place of work,12510,5680,6830,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Beaver Creek,,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,45,25,20,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001042'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote198'>198</a>,6001042
2021,Beaver Creek,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Worked at home,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001042'>View boundary on map</a>,,6001042
2021,Beaver Creek,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Worked outside Canada,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001042'>View boundary on map</a>,,6001042
2021,Beaver Creek,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,No fixed workplace address,10,10,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001042'>View boundary on map</a>,,6001042
2021,Beaver Creek,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Usual place of work,35,20,15,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001042'>View boundary on map</a>,,6001042
2021,Burwash Landing,,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,35,20,20,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001039'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote198'>198</a>,6001039
2021,Burwash Landing,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Worked at home,0,0,10,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001039'>View boundary on map</a>,,6001039
2021,Burwash Landing,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Worked outside Canada,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001039'>View boundary on map</a>,,6001039
2021,Burwash Landing,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,No fixed workplace address,10,10,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001039'>View boundary on map</a>,,6001039
2021,Burwash Landing,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Usual place of work,30,10,20,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001039'>View boundary on map</a>,,6001039
2021,Carcross,,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,110,60,50,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001048'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote198'>198</a>,6001048
2021,Carcross,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Worked at home,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001048'>View boundary on map</a>,,6001048
2021,Carcross,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Worked outside Canada,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001048'>View boundary on map</a>,,6001048
2021,Carcross,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,No fixed workplace address,15,10,10,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001048'>View boundary on map</a>,,6001048
2021,Carcross,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Usual place of work,90,50,40,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001048'>View boundary on map</a>,,6001048
