census_year,geo_name,category,sub_category,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Yukon,,,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,32780,16180,16595,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote185'>185</a>,6001
2021,Yukon,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,,Did not work,8935,4395,4540,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote186'>186</a>,6001
2021,Yukon,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,,Worked,23845,11785,12055,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,Worked,Worked full year full time,13415,6755,6655,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote187'>187</a>,6001
2021,Yukon,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,Worked,Worked part year and/or part time,10430,5030,5400,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote188'>188</a>,6001
2021,Yukon,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,Worked,Average weeks worked in reference year,41.8,41.8,41.8,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Whitehorse - Area,,,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,25920,12670,13245,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote185'>185</a>,990
2021,Whitehorse - Area,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,,Did not work,6455,3110,3350,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote186'>186</a>,990
2021,Whitehorse - Area,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,,Worked,19465,9565,9900,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,Worked,Worked full year full time,11295,5670,5630,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote187'>187</a>,990
2021,Whitehorse - Area,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,Worked,Worked part year and/or part time,8170,3895,4270,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote188'>188</a>,990
2021,Whitehorse - Area,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,Worked,Average weeks worked in reference year,42.5,42.6,42.5,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - City,,,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,22785,11040,11750,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote185'>185</a>,6001009
2021,Whitehorse - City,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,,Did not work,5530,2600,2935,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote186'>186</a>,6001009
2021,Whitehorse - City,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,,Worked,17250,8435,8810,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
