year,region,median_age,data_note,footnotes,data_source,region_code,geographic_boundary
2021,Beaver Creek,40.7,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2021,Burwash Landing,44.5,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.BL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BL'>View boundary on map</a>
2021,Carcross,46.5,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2021,Carmacks,39.4,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2021,Dawson,39.9,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2021,Destruction Bay,50.4,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2021,Faro,47.3,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2021,Haines Junction,45.7,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2021,Johnson's Crossing,57.3,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.JC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.JC'>View boundary on map</a>
2021,Mayo,43.8,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2021,Mendenhall,45.8,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.MH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MH'>View boundary on map</a>
2021,Old Crow,36.2,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2021,Yukon - Other,61,Includes communities such as Champagne; Johnson's Crossing; Keno City; Stewart Crossing; Swift River and Elsa.,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.OTH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OTH'>View boundary on map</a>
2021,Pelly Crossing,36.4,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
