year,region,births,deaths,marriages,data_note,footnotes,data_source,region_code,geographic_boundary
2024,Beaver Creek,1,0,0,,These population estimates are derived from data in Yukon government administrative records. Birth and death data represent events occurring within Yukon to Yukon residents only. Births are assigned to a community based on the Mother’s residential address. Marriages include all marriages occurring within Yukon regardless of a person's place of residence. Note that statistics may change due to revisions as additional administrative data become available.,Vital statistic estimates: Yukon Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2024,Burwash Landing,0,0,0,,These population estimates are derived from data in Yukon government administrative records. Birth and death data represent events occurring within Yukon to Yukon residents only. Births are assigned to a community based on the Mother’s residential address. Marriages include all marriages occurring within Yukon regardless of a person's place of residence. Note that statistics may change due to revisions as additional administrative data become available.,Vital statistic estimates: Yukon Bureau of Statistics,YK.BL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BL'>View boundary on map</a>
2024,Carcross,0,5,6,,These population estimates are derived from data in Yukon government administrative records. Birth and death data represent events occurring within Yukon to Yukon residents only. Births are assigned to a community based on the Mother’s residential address. Marriages include all marriages occurring within Yukon regardless of a person's place of residence. Note that statistics may change due to revisions as additional administrative data become available.,Vital statistic estimates: Yukon Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2024,Carmacks,9,6,2,,These population estimates are derived from data in Yukon government administrative records. Birth and death data represent events occurring within Yukon to Yukon residents only. Births are assigned to a community based on the Mother’s residential address. Marriages include all marriages occurring within Yukon regardless of a person's place of residence. Note that statistics may change due to revisions as additional administrative data become available.,Vital statistic estimates: Yukon Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2024,Dawson,20,6,12,,These population estimates are derived from data in Yukon government administrative records. Birth and death data represent events occurring within Yukon to Yukon residents only. Births are assigned to a community based on the Mother’s residential address. Marriages include all marriages occurring within Yukon regardless of a person's place of residence. Note that statistics may change due to revisions as additional administrative data become available.,Vital statistic estimates: Yukon Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2024,Destruction Bay,0,1,0,,These population estimates are derived from data in Yukon government administrative records. Birth and death data represent events occurring within Yukon to Yukon residents only. Births are assigned to a community based on the Mother’s residential address. Marriages include all marriages occurring within Yukon regardless of a person's place of residence. Note that statistics may change due to revisions as additional administrative data become available.,Vital statistic estimates: Yukon Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2024,Faro,1,2,0,,These population estimates are derived from data in Yukon government administrative records. Birth and death data represent events occurring within Yukon to Yukon residents only. Births are assigned to a community based on the Mother’s residential address. Marriages include all marriages occurring within Yukon regardless of a person's place of residence. Note that statistics may change due to revisions as additional administrative data become available.,Vital statistic estimates: Yukon Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2024,Haines Junction,5,9,11,,These population estimates are derived from data in Yukon government administrative records. Birth and death data represent events occurring within Yukon to Yukon residents only. Births are assigned to a community based on the Mother’s residential address. Marriages include all marriages occurring within Yukon regardless of a person's place of residence. Note that statistics may change due to revisions as additional administrative data become available.,Vital statistic estimates: Yukon Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2024,Marsh Lake,3,5,1,,These population estimates are derived from data in Yukon government administrative records. Birth and death data represent events occurring within Yukon to Yukon residents only. Births are assigned to a community based on the Mother’s residential address. Marriages include all marriages occurring within Yukon regardless of a person's place of residence. Note that statistics may change due to revisions as additional administrative data become available.,Vital statistic estimates: Yukon Bureau of Statistics,YK.MLK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MLK'>View boundary on map</a>
2024,Mayo,5,5,0,,These population estimates are derived from data in Yukon government administrative records. Birth and death data represent events occurring within Yukon to Yukon residents only. Births are assigned to a community based on the Mother’s residential address. Marriages include all marriages occurring within Yukon regardless of a person's place of residence. Note that statistics may change due to revisions as additional administrative data become available.,Vital statistic estimates: Yukon Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
