year,month,region,total_aircraft_movements,data_note,footnotes,data_source,region_code,geographic_boundary
2024,1,Whitehorse - City,1572,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2023,12,Whitehorse - City,1744,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2023,11,Whitehorse - City,2295,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2023,10,Whitehorse - City,2882,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2023,9,Whitehorse - City,2826,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2023,8,Whitehorse - City,3916,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2023,7,Whitehorse - City,4610,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2023,6,Whitehorse - City,3683,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2023,5,Whitehorse - City,4332,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2023,4,Whitehorse - City,4336,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2023,3,Whitehorse - City,2575,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2023,2,Whitehorse - City,2519,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2023,1,Whitehorse - City,2118,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2022,12,Whitehorse - City,1592,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2022,11,Whitehorse - City,1816,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2022,10,Whitehorse - City,2466,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2022,9,Whitehorse - City,2696,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2022,8,Whitehorse - City,3371,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2022,7,Whitehorse - City,4020,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2022,6,Whitehorse - City,3849,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2022,5,Whitehorse - City,4536,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2022,4,Whitehorse - City,3859,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2022,3,Whitehorse - City,3389,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2022,2,Whitehorse - City,2805,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
2022,1,Whitehorse - City,1957,,,Statistics Canada. Table 23-10-0296-01  Aircraft movements by class of operation airports with NAV CANADA services and other selected airports monthly,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>
