year,region,number_of_businesses,number_of_workers_reported,data_note,footnotes,data_source,region_code,geographic_boundary
2021,Beaver Creek,4,13,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2021,Burwash Landing,3,10,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.BL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BL'>View boundary on map</a>
2021,Carcross,13,56,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2021,Carmacks,15,65,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2021,Dawson,154,760,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2021,Destruction Bay,3,11,Since 2003 Destruction Bay is included in Haines Junction.,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2021,Faro,14,52,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2021,Haines Junction,61,196,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2021,Marsh Lake,26,88,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.MLK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MLK'>View boundary on map</a>
2021,Mayo,29,109,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2021,Old Crow,5,17,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2021,Pelly Crossing,5,17,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2021,Ross River,2,18,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2021,Tagish,11,24,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.TG,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TG'>View boundary on map</a>
2021,Teslin,24,85,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2021,Watson Lake,56,266,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2021,Whitehorse - City,1856,12641,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2021,Yukon - Other,8,41,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.OTH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OTH'>View boundary on map</a>
2021,Yukon,2289,14469,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK'>View boundary on map</a>
2019,Beaver Creek,5,29,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
