year,quarter,region,median_rent,vacancy_rate,flag,data_note,footnotes,data_source,region_code,geographic_boundary
2025,1,Yukon,1340,1.4,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK'>View boundary on map</a>
2025,1,Dawson,1385,8.7,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.DW'>View boundary on map</a>
2025,1,Watson Lake,1088,8.3,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.WL'>View boundary on map</a>
2025,1,Whitehorse - City,1340,1.2,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.WH'>View boundary on map</a>
2025,1,Whitehorse - Downtown,1306,0.7,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.WH.DT,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.WH.DT'>View boundary on map</a>
2025,1,Whitehorse - Porter Creek,1650,7.7,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.WH.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.WH.PC'>View boundary on map</a>
2025,1,Whitehorse - Riverdale,1474,0.5,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.WH.RD,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.WH.RD'>View boundary on map</a>
2025,1,Whitehorse - Upper,1295,1.4,,Includes Granger; Arkell; Copper Ridge; Ingram; Logan; Hillcrest; Takhini; Valleyview and Lobird/South Access. This aggregation has been made due to small numbers of surveyed buildings in these subdivisions.,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.WH.UW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.WH.UW'>View boundary on map</a>
2025,1,Whitehorse - Whistle Bend,2540,0,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.WH.WB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.WH.WB'>View boundary on map</a>
2024,4,Yukon,1308,1.4,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK'>View boundary on map</a>
