year,month,region,all_benefits,regular_benefits,data_note,footnotes,data_source,region_code,geographic_boundary
2023,3,Yukon,1100,710,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>
2023,3,Beaver Creek,10,0,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001042,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001042'>View boundary on map</a>
2023,3,Burwash Landing,10,0,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001039,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001039'>View boundary on map</a>
2023,3,Carmacks,20,20,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001012,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001012'>View boundary on map</a>
2023,3,Dawson,160,140,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001029,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001029'>View boundary on map</a>
2023,3,Faro,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001004,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001004'>View boundary on map</a>
2023,3,Haines Junction,50,50,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001018,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001018'>View boundary on map</a>
2023,3,Marsh Lake,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001058,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001058'>View boundary on map</a>
2023,3,Mayo,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001022,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001022'>View boundary on map</a>
2023,3,Mt. Lorne,0,0,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001044,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>
