year,region,total_violations,violent_criminal_code_violation,property_crime,other_criminal_code_volations,criminal_code_traffic_violation,federal_statute_violations,data_note,footnotes,data_source
2023,Beaver Creek,35,6,15,2,6,6,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2023,Carcross,205,34,113,37,18,3,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2023,Carmacks,229,63,79,49,27,11,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2023,Dawson,404,85,208,84,21,6,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2023,Faro,78,23,31,13,7,4,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2023,Haines Junction,260,67,128,35,24,6,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2023,Mayo,300,78,104,56,45,17,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2023,Old Crow,217,36,100,43,31,7,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2023,Pelly Crossing,339,69,167,65,16,22,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2023,Ross River,286,85,129,44,15,13,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2023,Teslin,200,37,98,52,11,2,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2023,Watson Lake,683,167,314,146,46,10,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2023,Whitehorse - City,7829,1511,3625,2090,438,165,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2023,Yukon,11065,2261,5111,2716,705,272,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2022,Beaver Creek,27,4,13,2,0,8,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2022,Carcross,225,58,77,48,21,21,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2022,Carmacks,215,58,86,44,16,11,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2022,Dawson,421,111,186,94,20,10,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2022,Faro,65,17,28,11,7,2,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2022,Haines Junction,168,48,67,32,16,5,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2022,Mayo,270,61,98,52,39,20,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2022,Old Crow,157,23,67,41,25,1,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2022,Pelly Crossing,271,77,111,45,19,19,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2022,Ross River,406,79,209,91,23,4,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2022,Teslin,217,59,92,48,13,5,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2022,Watson Lake,604,141,261,155,34,13,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2022,Whitehorse - City,7482,1564,3219,2085,446,168,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2022,Yukon,10528,2300,4514,2748,679,287,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2021,Beaver Creek,54,11,25,8,3,7,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2021,Carcross,209,52,66,51,26,14,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2021,Carmacks,240,79,74,53,28,6,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2021,Dawson,508,117,194,128,42,27,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2021,Faro,77,21,37,11,5,3,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
