year,region,public_school_enrolment,data_note,footnotes,data_source,region_code,geographic_boundary
2025,Whitehorse - City,5136,Total including urban elementary and secondary schools (Christ the King Elementary; École Whitehorse Elementary School; Elijah Smith Elementary School; Golden Horn Elementary School; Grey Mountain Primary School; Hidden Valley Elementary School; Holy Family Elementary School; Jack Hulland Elementary School; Selkirk Elementary School; Takhini Elementary School;  Dámbü Tän Kets\'áda? K?? – Cliff Trail Elementary School (Whistle Bend est. 2025); École Émilie-Tremblay; Centre Scolaire Secondaire Communautaire Paul-Émile Mercier (CSSC Mercier est. 2020); F.H. Collins Secondary School; Individual Learning Centre; Porter Creek Secondary School and St. Francis of Assisi Catholic Secondary School. Prior to November 2020 Académie Parhélie experiential curriculum program was administered via École Émilie-Tremblay. Prior to June 2022 St. Francis of Assisi Catholic Secondary School was called Vanier Catholic Secondary School.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2025,Beaver Creek,7,Nelnah Bessie John School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2025,Carcross,68,Ghùch Tlâ Community School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2025,Carmacks,98,Tantalus Community School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2025,Dawson,208,Total including Robert Service School and Programme Confluence (est. 2023),Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2025,Destruction Bay,12,Kluane Lake School offers kindergarten through Grade 8.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2025,Faro,57,Del Van Gorder School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2025,Haines Junction,124,St. Elias Community School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2025,Mayo,54,J.V. Clark School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2025,Old Crow,41,Chief Zzeh Gittlit School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2025,Pelly Crossing,74,Eliza Van Bibber School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2025,Ross River,62,Ross River School offers kindergarten through Grade 10.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2025,Teslin,57,Khàtinas.àxh Community School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2025,Watson Lake,211,Total including Johnson Elementary and Watson Lake Secondary schools.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2024,Whitehorse - City,4961,Total including urban elementary and secondary schools (Christ the King Elementary; École Whitehorse Elementary School; Elijah Smith Elementary School; Golden Horn Elementary School; Grey Mountain Primary School; Hidden Valley Elementary School; Holy Family Elementary School; Jack Hulland Elementary School; Selkirk Elementary School; Takhini Elementary School;  Dámbü Tän Kets\'áda? K?? – Cliff Trail Elementary School (Whistle Bend est. 2025); École Émilie-Tremblay; Centre Scolaire Secondaire Communautaire Paul-Émile Mercier (CSSC Mercier est. 2020); F.H. Collins Secondary School; Individual Learning Centre; Porter Creek Secondary School and St. Francis of Assisi Catholic Secondary School. Prior to November 2020 Académie Parhélie experiential curriculum program was administered via École Émilie-Tremblay. Prior to June 2022 St. Francis of Assisi Catholic Secondary School was called Vanier Catholic Secondary School.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2024,Beaver Creek,7,Nelnah Bessie John School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2024,Carcross,54,Ghùch Tlâ Community School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2024,Carmacks,102,Tantalus Community School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2024,Dawson,199,Total including Robert Service School and Programme Confluence (est. 2023),Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2024,Destruction Bay,11,Kluane Lake School offers kindergarten through Grade 8.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2024,Faro,62,Del Van Gorder School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2024,Haines Junction,138,St. Elias Community School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2024,Mayo,52,J.V. Clark School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2024,Old Crow,37,Chief Zzeh Gittlit School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2024,Pelly Crossing,79,Eliza Van Bibber School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2024,Ross River,61,Ross River School offers kindergarten through Grade 10.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2024,Teslin,54,Khàtinas.àxh Community School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2024,Watson Lake,218,Total including Johnson Elementary and Watson Lake Secondary schools.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
